Tabela 6579 - População residente estimada;;;
Ano;Cód.;Município;População residente estimada (Pessoas)
2002;2105963;Lagoa Grande do Maranhão (MA);8332
2002;2105989;Lajeado Novo (MA);5969
2002;2106003;Lima Campos (MA);10811
2002;2106102;Loreto (MA);10142
2002;2106201;Luís Domingues (MA);5717
2002;2106300;Magalhães de Almeida (MA);13342
2002;2106326;Maracaçumé (MA);15465
2002;2106359;Marajá do Sena (MA);7106
2002;2106375;Maranhãozinho (MA);9027
2002;2106409;Mata Roma (MA);12050
2002;2106508;Matinha (MA);20041
2002;2106607;Matões (MA);26668
2002;2106631;Matões do Norte (MA);7607
2002;2106672;Milagres do Maranhão (MA);4931
2002;2106706;Mirador (MA);20489
2002;2106755;Miranda do Norte (MA);16511
2002;2106805;Mirinzal (MA);13248
2002;2106904;Monção (MA);26186
2002;2107001;Montes Altos (MA);10539
2002;2107100;Morros (MA);14956
2002;2107209;Nina Rodrigues (MA);8455
2002;2107258;Nova Colinas (MA);4096
2002;2107308;Nova Iorque (MA);4461
2002;2107357;Nova Olinda do Maranhão (MA);15212
2002;2107407;Olho d'Água das Cunhãs (MA);17131
2002;2107456;Olinda Nova do Maranhão (MA);10113
2002;2107506;Paço do Lumiar (MA);83409
2002;2107605;Palmeirândia (MA);17621
2002;2107704;Paraibano (MA);18291
2002;2107803;Parnarama (MA);32708
2002;2107902;Passagem Franca (MA);14955
2002;2108009;Pastos Bons (MA);15784
2002;2108058;Paulino Neves (MA);11718
2002;2108108;Paulo Ramos (MA);19234
2002;2108207;Pedreiras (MA);40879
2002;2108256;Pedro do Rosário (MA);19738
2002;2108306;Penalva (MA);30512
2002;2108405;Peri Mirim (MA);13007
2002;2108454;Peritoró (MA);18168
2002;2108504;Pindaré-Mirim (MA);28457
2002;2108603;Pinheiro (MA);69588
2002;2108702;Pio XII (MA);25421
2002;2108801;Pirapemas (MA);14829
2002;2108900;Poção de Pedras (MA);21936
2002;2109007;Porto Franco (MA);17256
2002;2109056;Porto Rico do Maranhão (MA);6259
2002;2109106;Presidente Dutra (MA);40361
2002;2109205;Presidente Juscelino (MA);9957
2002;2109239;Presidente Médici (MA);5124
2002;2109270;Presidente Sarney (MA);14010
2002;2109304;Presidente Vargas (MA);9563
2002;2109403;Primeira Cruz (MA);11453
2002;2109452;Raposa (MA);18300
2002;2109502;Riachão (MA);21092
2002;2109551;Ribamar Fiquene (MA);6682
2002;2109601;Rosário (MA);34102
2002;2109700;Sambaíba (MA);5160
2002;2109759;Santa Filomena do Maranhão (MA);4943
2002;2109809;Santa Helena (MA);31791
2002;2109908;Santa Inês (MA);73870
2002;2110005;Santa Luzia (MA);73177
2002;2110039;Santa Luzia do Paruá (MA);19834
2002;2110104;Santa Quitéria do Maranhão (MA);30316
2002;2110203;Santa Rita (MA);23281
2002;2110237;Santana do Maranhão (MA);12268
2002;2110278;Santo Amaro do Maranhão (MA);9643
2002;2110302;Santo Antônio dos Lopes (MA);14217
2002;2110401;São Benedito do Rio Preto (MA);16733
2002;2110500;São Bento (MA);32615
2002;2110609;São Bernardo (MA);23669
2002;2110658;São Domingos do Azeitão (MA);6693
2002;2110708;São Domingos do Maranhão (MA);34182
2002;2110807;São Félix de Balsas (MA);4913
2002;2110856;São Francisco do Brejão (MA);7447
2002;2110906;São Francisco do Maranhão (MA);12841
2002;2111003;São João Batista (MA);19614
2002;2111029;São João do Carú (MA);13948
2002;2111052;São João do Paraíso (MA);10785
2002;2111078;São João do Soter (MA);15381
2002;2111102;São João dos Patos (MA);23433
2002;2111201;São José de Ribamar (MA);115130
2002;2111250;São José dos Basílios (MA);7507
2002;2111300;São Luís (MA);906567
2002;2111409;São Luís Gonzaga do Maranhão (MA);22264
2002;2111508;São Mateus do Maranhão (MA);35820
2002;2111532;São Pedro da Água Branca (MA);11004
2002;2111573;São Pedro dos Crentes (MA);4112
2002;2111607;São Raimundo das Mangabeiras (MA);15022
2002;2111631;São Raimundo do Doca Bezerra (MA);6626
2002;2111672;São Roberto (MA);4446
2002;2111706;São Vicente Ferrer (MA);18833
2002;2111722;Satubinha (MA);8610
2002;2111748;Senador Alexandre Costa (MA);8315
2002;2111763;Senador La Rocque (MA);15783
