Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010;;;;;;;;;
Ano;Cód.;Microrregião Geográfica;Produto Interno Bruto a preços correntes (Mil Reais);Participação do produto interno bruto a preços correntes no produto interno bruto a preços correntes da microrregião geográfica (%);Participação do produto interno bruto a preços correntes no produto interno bruto a preços correntes da mesorregião geográfica (%);Participação do valor adicionado bruto a preços correntes da agropecuária no valor adicionado bruto a preços correntes total (%);Participação do valor adicionado bruto a preços correntes da indústria no valor adicionado bruto a preços correntes total (%);Participação do valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social, no valor adicionado bruto a preços correntes total (%);Participação do valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social no valor adicionado bruto a preços correntes total (%)
2002;26013;Mata Setentrional Pernambucana (PE);1720433;-;46,35;20,51;18,09;30,64;30,76
2002;26014;Vitória de Santo Antão (PE);598499;-;16,13;13,96;17,34;33,91;34,8
2002;26015;Mata Meridional Pernambucana (PE);1392605;-;37,52;16,63;15,02;30,25;38,1
2002;26016;Itamaracá (PE);786117;-;3,37;4,43;44,86;30,45;20,26
2002;26017;Recife (PE);20209863;-;86,64;0,56;24,49;58,13;16,82
2002;26018;Suape (PE);2307784;-;9,89;3,04;47,62;36,04;13,31
2002;26019;Fernando de Noronha (PE);22164;-;0,1;0,88;6,23;85,75;7,14
2002;27001;Serrana do Sertão Alagoano (AL);151937;-;17,09;34,22;2,93;17,66;45,2
2002;27002;Alagoana do Sertão do São Francisco (AL);204269;-;22,98;8,79;38,68;22,25;30,28
2002;27003;Santana do Ipanema (AL);308907;-;34,75;28,25;3,6;21,88;46,27
2002;27004;Batalha (AL);223795;-;25,18;35,57;5,89;22,47;36,06
2002;27005;Palmeira dos Índios (AL);392911;-;24,98;20,04;14,6;27,79;37,57
2002;27006;Arapiraca (AL);1097955;-;69,81;34,27;7,67;27,84;30,22
2002;27007;Traipu (AL);82016;-;5,21;46,34;5,14;12,73;35,79
2002;27008;Serrana dos Quilombos (AL);559694;-;6,17;49,54;10,74;17,29;22,44
2002;27009;Mata Alagoana (AL);980345;-;10,8;42,96;15,98;15,68;25,38
2002;27010;Litoral Norte Alagoano (AL);191937;-;2,11;44,64;6,57;19,91;28,89
2002;27011;Maceió (AL);5324728;-;58,67;6;25,49;50,03;18,48
2002;27012;São Miguel dos Campos (AL);1597146;-;17,6;39,78;29,37;15,89;14,97
2002;27013;Penedo (AL);421214;-;4,64;34,21;17,2;23,81;24,78
2002;28001;Sergipana do Sertão do São Francisco (SE);1177607;-;86,12;3,96;73,9;6,45;15,69
2002;28002;Carira (SE);189806;-;13,88;12,97;19,96;22,92;44,15
2002;28003;Nossa Senhora das Dores (SE);163575;-;12,35;18,93;6,13;27,8;47,14
2002;28004;Agreste de Itabaiana (SE);496191;-;37,46;17,8;9,11;36,02;37,07
2002;28005;Tobias Barreto (SE);261046;-;19,71;14,47;8,26;30,69;46,58
2002;28006;Agreste de Lagarto (SE);403924;-;30,49;17,37;15,17;34,69;32,77
2002;28007;Propriá (SE);319360;-;4,18;16,33;15,76;29,65;38,26
2002;28008;Cotinguiba (SE);160196;-;2,1;10,23;33,75;22,37;33,64
2002;28009;Japaratuba (SE);325791;-;4,26;20,96;39,68;18,29;21,07
2002;28010;Baixo Cotinguiba (SE);762556;-;9,98;3,7;59,38;19,67;17,26
2002;28011;Aracaju (SE);4901188;-;64,15;0,64;24,29;55,7;19,37
2002;28012;Boquim (SE);414375;-;5,42;22,41;6,92;25,33;45,34
2002;28013;Estância (SE);756880;-;9,91;8,53;43,5;26,15;21,83
2002;29001;Barreiras (BA);2347266;-;72,16;50,76;12,99;28,38;7,86
2002;29002;Cotegipe (BA);226786;-;6,97;40,78;3,6;19,52;36,1
2002;29003;Santa Maria da Vitória (BA);678616;-;20,86;47,2;9,42;22,59;20,79
2002;29004;Juazeiro (BA);1418585;-;42,32;21,34;22,83;30,78;25,05
2002;29005;Paulo Afonso (BA);1268836;-;37,85;2,66;74,21;14,07;9,07
2002;29006;Barra (BA);296340;-;8,84;23,44;5,22;29,39;41,96
2002;29007;Bom Jesus da Lapa (BA);368292;-;10,99;30,52;6,85;29,63;33
2002;29008;Senhor do Bonfim (BA);756343;-;13,14;6,98;26,12;36,37;30,53
2002;29009;Irecê (BA);821267;-;14,27;29,91;7,85;29,33;32,91
2002;29010;Jacobina (BA);633054;-;11;14,6;7,66;38,25;39,5
2002;29011;Itaberaba (BA);504522;-;8,77;21,64;9,03;31,45;37,88
2002;29012;Feira de Santana (BA);3040319;-;52,82;6,49;16,07;52,63;24,81
2002;29013;Jeremoabo (BA);263158;-;6,5;48,99;4,55;17,25;29,21
2002;29014;Euclides da Cunha (BA);489885;-;12,09;22,27;4,37;27,28;46,09
2002;29015;Ribeira do Pombal (BA);641228;-;15,83;33,08;6,16;25,6;35,16
2002;29016;Serrinha (BA);832012;-;20,54;12,92;18,85;32,35;35,88
2002;29017;Alagoinhas (BA);1253172;-;30,93;28,54;20,26;30,9;20,3
2002;29018;Entre Rios (BA);572190;-;14,12;30,47;34,8;20,41;14,33
2002;29019;Catu (BA);1259309;-;4,37;4,39;49,5;32,15;13,95
2002;29020;Santo Antônio de Jesus (BA);1498930;-;5,2;20,27;12,83;40,44;26,46
2002;29021;Salvador (BA);26091047;-;90,44;0,16;30,53;58,53;10,78
