Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes;;;
Variável - Valor da produção (Mil Reais);;;
Produto das lavouras temporárias e permanentes - Total;;;
;Ano;;
Marianópolis do Tocantins (TO);15150;30916;57443
Mateiros (TO);128900;109983;94822
Maurilândia do Tocantins (TO);346;375;390
Miracema do Tocantins (TO);7299;33158;44328
Miranorte (TO);12064;12421;13085
Monte do Carmo (TO);76599;90341;71340
Monte Santo do Tocantins (TO);243;264;6178
Palmeiras do Tocantins (TO);273;290;305
Muricilândia (TO);1409;1148;1214
Natividade (TO);3994;6855;8023
Nazaré (TO);347;359;265
Nova Olinda (TO);1866;2125;2125
Nova Rosalândia (TO);9294;8067;13325
Novo Acordo (TO);7938;7580;6088
Novo Alegre (TO);1127;1075;1541
Novo Jardim (TO);1490;1524;2271
Oliveira de Fátima (TO);4101;4292;3727
Palmeirante (TO);20388;26373;25111
Palmeirópolis (TO);10235;12674;7979
Paraíso do Tocantins (TO);3470;28346;8385
Paranã (TO);1295;1794;1724
Pau D'Arco (TO);2687;3190;2978
Pedro Afonso (TO);137426;172252;155096
Peixe (TO);59755;127253;81490
Pequizeiro (TO);638;5153;4852
Colméia (TO);310;262;279
Pindorama do Tocantins (TO);1828;131;346
Piraquê (TO);4042;12908;13072
Pium (TO);37593;52582;96012
Ponte Alta do Bom Jesus (TO);2641;2605;3250
Ponte Alta do Tocantins (TO);14742;861;1073
Porto Alegre do Tocantins (TO);1494;2074;2976
Porto Nacional (TO);111268;149447;101512
Praia Norte (TO);898;1005;1023
Presidente Kennedy (TO);4764;2035;2025
Pugmil (TO);3825;3861;14467
Recursolândia (TO);997;5209;4543
Riachinho (TO);606;581;596
Rio da Conceição (TO);674;530;553
Rio dos Bois (TO);28308;23234;17543
Rio Sono (TO);2172;1884;2848
Sampaio (TO);261;473;554
Sandolândia (TO);1059;1491;1539
Santa Fé do Araguaia (TO);3423;5291;39974
Santa Maria do Tocantins (TO);13217;27163;21535
Santa Rita do Tocantins (TO);13230;18816;22035
Santa Rosa do Tocantins (TO);70119;95689;63574
Santa Tereza do Tocantins (TO);800;13;364
Santa Terezinha do Tocantins (TO);118;79;172
São Bento do Tocantins (TO);2756;2648;2113
São Félix do Tocantins (TO);...;188;357
São Miguel do Tocantins (TO);268;337;339
São Salvador do Tocantins (TO);442;683;454
São Sebastião do Tocantins (TO);268;214;219
São Valério (TO);40463;33109;25732
Silvanópolis (TO);41032;50089;79650
Sítio Novo do Tocantins (TO);202;268;307
Sucupira (TO);33377;39623;25722
Taguatinga (TO);10695;15107;19789
Taipas do Tocantins (TO);757;793;1073
Talismã (TO);23689;31501;20487
Palmas (TO);34966;31259;35779
Tocantínia (TO);279;212;5779
Tocantinópolis (TO);232;109;127
Tupirama (TO);61881;42092;35775
Tupiratins (TO);3339;2717;2831
Wanderlândia (TO);5521;5937;7112
Xambioá (TO);3598;3450;3294
Açailândia (MA);27530;45184;76023
Afonso Cunha (MA);5755;6345;6300
Água Doce do Maranhão (MA);3913;2747;3004
Alcântara (MA);5902;5082;3782
Aldeias Altas (MA);283347;56228;20324
Altamira do Maranhão (MA);3314;3609;3270
Alto Alegre do Maranhão (MA);3638;3939;490
Alto Alegre do Pindaré (MA);16920;8575;8850
Alto Parnaíba (MA);157650;172064;101147
Amapá do Maranhão (MA);2505;2698;1929
Amarante do Maranhão (MA);4557;4452;3946
Anajatuba (MA);8178;3381;3048
Anapurus (MA);32324;20022;27096
Apicum-Açu (MA);1016;1085;1185
Araguanã (MA);3608;3122;3591
Araioses (MA);12243;8078;7543
Arame (MA);16271;10836;11567
Arari (MA);16124;13822;12258
Axixá (MA);2765;1802;1768
Bacabal (MA);16432;18385;7373
Bacabeira (MA);2762;1112;1047
Bacuri (MA);1357;1376;1574
Bacurituba (MA);1119;1129;1281
Balsas (MA);645562;691880;413986
Barão de Grajaú (MA);2835;4698;2481
Barra do Corda (MA);39458;7036;4533
Barreirinhas (MA);35903;23775;16483
Belágua (MA);3399;4219;4164
Bela Vista do Maranhão (MA);2998;1807;1982
Benedito Leite (MA);1694;4799;4145
Bequimão (MA);5911;5778;5373
Bernardo do Mearim (MA);3322;2696;2738
Boa Vista do Gurupi (MA);2134;1971;783
Bom Jardim (MA);14393;11245;29700
Bom Jesus das Selvas (MA);23089;10260;21544
Bom Lugar (MA);4278;4236;3155
Brejo (MA);81184;69877;83407
Brejo de Areia (MA);6436;5873;6094
Buriti (MA);49443;36955;47814
Buriti Bravo (MA);4949;5509;4878
Buriticupu (MA);38308;61755;52818
Buritirana (MA);1008;648;748
Cachoeira Grande (MA);8129;7643;4893
Cajapió (MA);2780;1826;2724
Cajari (MA);4348;3145;3335
Campestre do Maranhão (MA);21862;28230;26673
Cândido Mendes (MA);5325;4581;5737
Cantanhede (MA);9211;8565;5887
Capinzal do Norte (MA);5671;3889;4169
Carolina (MA);108707;120672;60882
Carutapera (MA);8519;7095;8226
Caxias (MA);69086;25368;17727
Cedral (MA);1939;1949;1946
Central do Maranhão (MA);1310;1327;1464
Centro do Guilherme (MA);5208;4589;5171
Centro Novo do Maranhão (MA);5538;4405;5514
Chapadinha (MA);22042;16589;18205
Cidelândia (MA);1434;1168;1033
Codó (MA);52913;17539;10427
Coelho Neto (MA);173021;29462;27194
Colinas (MA);16208;24417;13782
Conceição do Lago-Açu (MA);2575;2771;2661
Coroatá (MA);6694;4259;2695
Cururupu (MA);1418;1370;1551
Davinópolis (MA);1285;1185;777
Dom Pedro (MA);3083;3161;1136
Duque Bacelar (MA);10948;4493;2698
Esperantinópolis (MA);5232;4373;4415
Estreito (MA);4493;3386;3505
Feira Nova do Maranhão (MA);4448;5179;6313
Fernando Falcão (MA);5543;3842;3512
Formosa da Serra Negra (MA);8156;4619;6160
Fortaleza dos Nogueiras (MA);42941;38807;33630
Fortuna (MA);11347;4395;2242
Godofredo Viana (MA);2673;3437;3192
Gonçalves Dias (MA);9403;6200;872
Governador Archer (MA);3445;3415;434
Governador Edison Lobão (MA);523;653;604
Governador Eugênio Barros (MA);5839;7115;2909
Governador Luiz Rocha (MA);2991;4415;4373
Governador Newton Bello (MA);5156;4315;4715
Governador Nunes Freire (MA);3926;3469;5451
Graça Aranha (MA);2194;1675;3165
Grajaú (MA);47240;47365;23530
Guimarães (MA);2739;2630;2917
Humberto de Campos (MA);9234;902;799
Icatu (MA);10046;10594;8621
Igarapé do Meio (MA);2052;1670;1901
Igarapé Grande (MA);3722;3107;3119
Imperatriz (MA);931;827;679
Itaipava do Grajaú (MA);4286;1617;1084
Itapecuru Mirim (MA);19292;17634;7748
Itinga do Maranhão (MA);22285;23751;52417
Jatobá (MA);6448;4115;2953
Jenipapo dos Vieiras (MA);4849;3083;1770
João Lisboa (MA);594;629;624
Joselândia (MA);8393;4082;3593
Junco do Maranhão (MA);1278;1293;2496
Lago da Pedra (MA);11160;11207;6757
Lago do Junco (MA);3665;3073;2515
Lago Verde (MA);4152;3795;2897
Lagoa do Mato (MA);7023;4243;2730
Lago dos Rodrigues (MA);6125;4380;5331
Lagoa Grande do Maranhão (MA);7820;6222;723
Lajeado Novo (MA);3160;3414;3221
Lima Campos (MA);5850;6307;5311
Loreto (MA);99207;110175;66653
Luís Domingues (MA);1328;1578;2800
Magalhães de Almeida (MA);20482;7844;12231
Maracaçumé (MA);3684;3835;5226
Marajá do Sena (MA);7573;5528;5574
Maranhãozinho (MA);7580;8299;8812
Mata Roma (MA);28274;26927;33658
Matinha (MA);5115;4675;5384
Matões (MA);5971;3298;3408
Matões do Norte (MA);5046;4087;4095
Milagres do Maranhão (MA);16418;14574;15257
Mirador (MA);21211;41024;21540
Miranda do Norte (MA);1566;1385;1428
Mirinzal (MA);2775;2789;3054
Monção (MA);9418;6750;7853
Montes Altos (MA);2000;3312;2755
Morros (MA);7768;7985;4803
Nina Rodrigues (MA);9812;6763;5301
Nova Colinas (MA);16675;18173;12524
Nova Iorque (MA);1426;2439;2115
Nova Olinda do Maranhão (MA);7399;8545;5422
Olho d'Água das Cunhãs (MA);4203;4255;3322
Olinda Nova do Maranhão (MA);5994;4229;4675
Paço do Lumiar (MA);186;180;190
Palmeirândia (MA);7479;7205;6941
Paraibano (MA);7468;7839;6170
Parnarama (MA);10150;12854;12126
Passagem Franca (MA);4600;3345;2320
Pastos Bons (MA);20088;20462;16710
Paulino Neves (MA);6041;4374;3425
Paulo Ramos (MA);8067;6989;6714
Pedreiras (MA);9884;9795;7931
Pedro do Rosário (MA);7067;5047;4489
Penalva (MA);10002;7114;6083
Peri Mirim (MA);2634;2731;2934
Peritoró (MA);2431;1818;1244
Pindaré-Mirim (MA);1587;1176;1669
Pinheiro (MA);10498;10570;8628
Pio XII (MA);3207;3314;2615
Pirapemas (MA);12580;8138;5576
Poção de Pedras (MA);8356;4078;3109
Porto Franco (MA);3663;3616;3271
Porto Rico do Maranhão (MA);1936;2011;2193
Presidente Dutra (MA);7129;3505;2095
Presidente Juscelino (MA);6534;5486;4666
Presidente Médici (MA);1756;1732;3131
Presidente Sarney (MA);6535;6315;5239
Presidente Vargas (MA);7021;6905;5189
Primeira Cruz (MA);5501;2466;1903
Raposa (MA);82;121;124
Riachão (MA);145590;129394;82412
Ribamar Fiquene (MA);3563;5481;5712
Rosário (MA);9972;3870;3085
Sambaíba (MA);156726;171263;88953
Santa Filomena do Maranhão (MA);3361;3582;537
Santa Helena (MA);3581;2356;2532
Santa Inês (MA);8084;6651;5134
Santa Luzia (MA);56270;37531;44900
Santa Luzia do Paruá (MA);6732;5949;5031
Santa Quitéria do Maranhão (MA);13459;8825;9746
Santa Rita (MA);9943;11268;6684
Santana do Maranhão (MA);4251;4164;4310
Santo Amaro do Maranhão (MA);11410;2270;3138
Santo Antônio dos Lopes (MA);10033;8217;7821
São Benedito do Rio Preto (MA);8732;6991;8094
São Bento (MA);3528;2426;2630
São Bernardo (MA);9381;6718;9121
São Domingos do Azeitão (MA);80313;87468;63488
São Domingos do Maranhão (MA);36123;56157;21106
São Félix de Balsas (MA);9739;10866;11234
São Francisco do Brejão (MA);521;486;433
São Francisco do Maranhão (MA);4797;5750;5133
São João Batista (MA);4351;2953;3670
São João do Carú (MA);13490;10590;7458
São João do Paraíso (MA);5897;6240;5830
São João do Soter (MA);3468;2298;2533
São João dos Patos (MA);6788;7340;6904
São José de Ribamar (MA);81;79;70
São José dos Basílios (MA);3510;1543;675
São Luís (MA);814;497;450
São Luís Gonzaga do Maranhão (MA);11663;12688;6321
São Mateus do Maranhão (MA);6251;10989;13614
São Pedro da Água Branca (MA);368;345;338
São Pedro dos Crentes (MA);9083;7807;6631
São Raimundo das Mangabeiras (MA);132285;143199;145930
São Raimundo do Doca Bezerra (MA);4005;2463;2186
São Roberto (MA);2219;1677;1596
São Vicente Ferrer (MA);5577;3933;4651
Satubinha (MA);2398;2377;1783
Senador Alexandre Costa (MA);7150;5680;2857
Senador La Rocque (MA);710;490;478
Serrano do Maranhão (MA);4908;4849;4226
Sítio Novo (MA);2662;2453;2094
Sucupira do Norte (MA);9215;13485;9838
