Tabela 793 - População residente;;;
Variável - População residente (Pessoas);;;
ano;cod;mun;pop
2007;2110039;Santa Luzia do Paruá (MA);19633
2007;2110104;Santa Quitéria do Maranhão (MA);28341
2007;2110203;Santa Rita (MA);30882
2007;2110237;Santana do Maranhão (MA);10537
2007;2110278;Santo Amaro do Maranhão (MA);11155
2007;2110302;Santo Antônio dos Lopes (MA);14225
2007;2110401;São Benedito do Rio Preto (MA);17191
2007;2110500;São Bento (MA);37449
2007;2110609;São Bernardo (MA);25480
2007;2110658;São Domingos do Azeitão (MA);6953
2007;2110708;São Domingos do Maranhão (MA);32557
2007;2110807;São Félix de Balsas (MA);4398
2007;2110856;São Francisco do Brejão (MA);8431
2007;2110906;São Francisco do Maranhão (MA);14194
2007;2111003;São João Batista (MA);18108
2007;2111029;São João do Carú (MA);12281
2007;2111052;São João do Paraíso (MA);11267
2007;2111078;São João do Soter (MA);16592
2007;2111102;São João dos Patos (MA);23576
2007;2111201;São José de Ribamar (MA);131379
2007;2111250;São José dos Basílios (MA);7282
2007;2111300;São Luís (MA);957515
2007;2111409;São Luís Gonzaga do Maranhão (MA);19655
2007;2111508;São Mateus do Maranhão (MA);38045
2007;2111532;São Pedro da Água Branca (MA);11113
2007;2111573;São Pedro dos Crentes (MA);4020
2007;2111607;São Raimundo das Mangabeiras (MA);15962
2007;2111631;São Raimundo do Doca Bezerra (MA);4502
2007;2111672;São Roberto (MA);4989
2007;2111706;São Vicente Ferrer (MA);19692
2007;2111722;Satubinha (MA);8399
2007;2111748;Senador Alexandre Costa (MA);9071
2007;2111763;Senador La Rocque (MA);20793
2007;2111789;Serrano do Maranhão (MA);10576
2007;2111805;Sítio Novo (MA);15549
