mun;ano;estab;taxa_estab
Mg-Nova Uniao;2002;7;0,132075472
Mg-Juatuba;2002;26;0,126829268
Mg-Juiz de Fora;2002;1284;0,106212259
Mg-Juramento;2002;5;0,080645161
Mg-Juruaia;2002;38;0,256756757
Mg-Juvenilia;2002;0;0
Mg-Ladainha;2002;3;0,071428571
Mg-Lagamar;2002;9;0,077586207
Mg-Lagoa da Prata;2002;96;0,12681638
Mg-Lagoa dos Patos;2002;1;0,076923077
Mg-Lagoa Dourada;2002;14;0,095238095
Mg-Lagoa Formosa;2002;32;0,107744108
Mg-Lagoa Grande;2002;8;0,054794521
Mg-Lagoa Santa;2002;80;0,118870728
Mg-Lajinha;2002;4;0,021052632
Mg-Lambari;2002;63;0,152912621
Mg-Lamim;2002;0;0
Mg-Laranjal;2002;17;0,141666667
Mg-Lassance;2002;2;0,028985507
Mg-Lavras;2002;192;0,07891492
Mg-Leandro Ferreira;2002;10;0,133333333
Mg-Leme do Prado;2002;1;0,083333333
Mg-Leopoldina;2002;90;0,061601643
Mg-Liberdade;2002;10;0,065789474
Mg-Lima Duarte;2002;39;0,079591837
Mg-Limeira do Oeste;2002;6;0,0375
Mg-Lontra;2002;0;0
Mg-Luisburgo;2002;1;0,071428571
Mg-Luislandia;2002;1;0,1
Mg-Luminarias;2002;12;0,125
Mg-Luz;2002;44;0,084615385
Mg-Machacalis;2002;1;0,025
Mg-Machado;2002;64;0,072153326
Mg-Madre de Deus de Minas;2002;6;0,069767442
Mg-Malacacheta;2002;12;0,12
Mg-Mamonas;2002;0;0
Mg-Manga;2002;4;0,048780488
Mg-Manhuacu;2002;107;0,071096346
Mg-Manhumirim;2002;38;0,086363636
Mg-Mantena;2002;55;0,137157107
Mg-Maravilhas;2002;39;0,237804878
Mg-Mar de Espanha;2002;65;0,221843003
Mg-Maria da Fe;2002;17;0,073913043
Mg-Mariana;2002;29;0,05141844
Mg-Marilac;2002;2;0,055555556
Mg-Mario Campos;2002;10;0,142857143
Mg-Maripa de Minas;2002;16;0,183908046
Mg-Marlieria;2002;31;0,246031746
Mg-Marmelopolis;2002;8;0,19047619
Mg-Martinho Campos;2002;43;0,111979167
Mg-Martins Soares;2002;2;0,057142857
Mg-Mata Verde;2002;1;0,047619048
Mg-Materlandia;2002;1;0,041666667
Mg-Mateus Leme;2002;54;0,128266033
Mg-Matias Barbosa;2002;30;0,118577075
Mg-Matias Cardoso;2002;2;0,026666667
Mg-Matipo;2002;8;0,045714286
Mg-Mato Verde;2002;5;0,142857143
Mg-Matozinhos;2002;106;0,201520913
Mg-Matutina;2002;7;0,116666667
Mg-Medeiros;2002;1;0,017857143
Mg-Medina;2002;21;0,179487179
Mg-Mendes Pimentel;2002;3;0,05
Mg-Merces;2002;15;0,106382979
Mg-Mesquita;2002;3;0,063829787
Mg-Minas Novas;2002;13;0,107438017
Mg-Minduri;2002;5;0,061728395
Mg-Mirabela;2002;6;0,073170732
Mg-Miradouro;2002;7;0,047945205
Mg-Mirai;2002;37;0,150406504
Mg-Miravania;2002;0;0
Mg-Moeda;2002;7;0,109375
Mg-Moema;2002;15;0,161290323
Mg-Monjolos;2002;2;0,042553191
Mg-Monsenhor Paulo;2002;17;0,090425532
Mg-Montalvania;2002;1;0,01754386
Mg-Monte Alegre de Minas;2002;14;0,028225806
Mg-Monte Azul;2002;10;0,12987013
Mg-Monte Belo;2002;14;0,08974359
Mg-Monte Carmelo;2002;104;0,096474954
Mg-Monte Formoso;2002;1;0,25
Mg-Monte Santo de Minas;2002;49;0,08277027
Mg-Montes Claros;2002;422;0,075182612
Mg-Monte Siao;2002;544;0,511759172
Mg-Montezuma;2002;3;0,166666667
Mg-Morada Nova de Minas;2002;9;0,056603774
Mg-Morro da Garca;2002;3;0,028301887
Mg-Morro do Pilar;2002;3;0,085714286
Mg-Munhoz;2002;4;0,16
Mg-Muriae;2002;395;0,154357171
Mg-Mutum;2002;23;0,107476636
Mg-Muzambinho;2002;52;0,099808061
Mg-Nacip Raydan;2002;2;0,181818182
Mg-Nanuque;2002;44;0,06162465
Mg-Naque;2002;2;0,041666667
Mg-Natalandia;2002;0;0
Mg-Natercia;2002;11;0,11827957
Mg-Nazareno;2002;9;0,083333333
Mg-Nepomuceno;2002;22;0,036363636
Mg-Ninheira;2002;3;0,375
Mg-Nova Belem;2002;3;0,214285714
Mg-Nova Era;2002;20;0,056179775
Mg-Nova Lima;2002;112;0,086153846
Mg-Nova Modica;2002;1;0,023255814
Mg-Nova Ponte;2002;19;0,071969697
Mg-Nova Porteirinha;2002;7;0,097222222
Mg-Nova Resende;2002;15;0,091463415
Mg-Nova Serrana;2002;692;0,539781591
Mg-Novo Cruzeiro;2002;2;0,03030303
Mg-Novo Oriente de Minas;2002;2;0,054054054
Mg-Novorizonte;2002;1;0,166666667
Mg-Olaria;2002;0;0
Mg-Olhos-D Agua;2002;4;0,105263158
Mg-Olimpio Noronha;2002;2;0,038461538
Mg-Oliveira;2002;97;0,103743316
Mg-Oliveira Fortes;2002;6;0,2
Mg-Onca de Pitangui;2002;6;0,090909091
Mg-Oratorios;2002;1;0,034482759
Mg-Orizania;2002;1;0,083333333
Mg-Ouro Branco;2002;54;0,097297297
Mg-Ouro Fino;2002;135;0,167286245
Mg-Ouro Preto;2002;85;0,077132486
Mg-Ouro Verde de Minas;2002;2;0,111111111
