Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes;;;;;;;;;;;;;;;;;
Nível;Cód.;Município;Produto das lavouras temporárias e permanentes x Ano x Variável;;;;;;;;;;;;;;
Nível;Cód.;Município;area_plantada14;area_colhida14;valor_prod14;area_plantada15;area_colhida15;valor_prod15;area_plantada16;area_colhida16;valor_prod16;area_plantada17;area_colhida17;valor_prod17;area_plantada18;area_colhida18;valor_prod18
MU;1502764;Cumaru do Norte (PA);11119;11119;23434;14010;14010;33319;23530;23530;66660;40495;40495;85105;22867;22867;45728
MU;1502772;Curionópolis (PA);2655;2655;12652;1870;1870;9910;2680;2680;13863;3300;3300;16094;3300;3300;9718
MU;1502806;Curralinho (PA);304;304;389;1298;1297;11321;1103;1103;12253;1149;1149;13707;1061;1061;14504
MU;1502855;Curuá (PA);157;157;366;644;644;6313;646;646;4318;658;658;8065;718;718;6263
MU;1502905;Curuçá (PA);1714;1714;18876;1929;1929;25935;1851;1851;24054;1524;1524;12116;1513;1513;15747
MU;1502939;Dom Eliseu (PA);58780;58760;157413;96303;96303;270405;91808;91808;368150;107476;107476;317525;109354;109354;353868
MU;1502954;Eldorado do Carajás (PA);2123;2123;14792;1673;1673;12313;2773;2773;14475;3130;3130;26395;3110;3110;15470
MU;1503002;Faro (PA);663;663;2796;776;775;2946;719;717;2666;767;767;2281;302;302;1090
MU;1503044;Floresta do Araguaia (PA);17190;17190;231699;19330;19330;387572;21700;21700;331854;20267;18392;174084;19328;19328;477624
MU;1503077;Garrafão do Norte (PA);5295;5295;35708;5125;5125;47934;5645;5630;53668;8181;8181;67877;5655;5655;33688
MU;1503093;Goianésia do Pará (PA);4320;4320;7414;5305;5305;11249;4265;4265;12318;4905;4905;11318;491;491;6223
MU;1503101;Gurupá (PA);751;751;5479;679;479;4326;1076;1076;11224;1046;1046;10744;1076;1076;12209
MU;1503200;Igarapé-Açu (PA);7388;7388;70437;8712;8712;117073;9011;9011;100487;7156;7156;46492;9140;9140;62951
MU;1503309;Igarapé-Miri (PA);2048;2048;5979;37858;37858;1772868;38750;38750;665757;42847;42847;620456;47800;47800;890660
MU;1503408;Inhangapi (PA);1961;1961;13113;6333;6333;61167;4716;4716;38145;3678;3678;24379;3983;3983;29600
MU;1503457;Ipixuna do Pará (PA);12170;12170;73477;7710;7710;41157;8210;8210;67363;8585;8585;46445;8525;8525;33457
MU;1503507;Irituia (PA);2214;2214;11669;4149;4149;26472;3930;3930;26458;3851;3851;17449;3851;3851;21120
MU;1503606;Itaituba (PA);18857;18857;91216;13666;13666;145791;6759;6759;83549;6988;6227;69140;5793;5793;83668
MU;1503705;Itupiranga (PA);8135;8135;47522;7425;7425;45465;7667;7667;48963;7837;7837;59820;7667;7667;33978
MU;1503754;Jacareacanga (PA);2548;2548;11622;2673;2673;9998;2593;2593;22984;2735;2735;28265;2593;2593;19306
MU;1503804;Jacundá (PA);2544;2544;8470;2541;2541;8984;3241;3241;12740;3141;3141;11364;302;302;3883
