Territorialidades;População rural 2010;População urbana 2010;População economicamente ativa de 18 anos ou mais de idade 2010;Produto Interno Bruto per capita 2014;Produto Interno Bruto per capita 2015;Produto Interno Bruto per capita 2016;Participação da Agropecuária no Valor Adicionado 2014;Participação da Agropecuária no Valor Adicionado 2015;Participação da Agropecuária no Valor Adicionado 2016;Participação da Indústria no Valor Adicionado 2014;Participação da Administração Pública no Valor Adicionado 2014;Participação dos Serviços no Valor Adicionado 2014;Rendimento médio no setor formal 2014;Esperança de vida ao nascer 2014;Média de anos de estudo 2014;% de 25 anos ou mais de idade com ensino superior completo 2014
Cachoeira de Minas (MG);3970;7064;5194;14,54;14,25;18,92;13,27;12,31;13,04;41,32;18,44;26,97;1028,95;;;
Cachoeira de Pajeú (MG);4498;4461;3391;6,14;7,5;6,19;8,14;5,57;6,93;5,18;44,31;42,37;858,48;;;
Cachoeira do Arari (PA);13087;7356;6714;5,22;5,12;4,91;42,01;42,69;41,75;2,62;42,45;12,92;889,22;;;
Cachoeira do Piriá (PA);20952;5532;7673;3,7;3,5;3,54;22,4;20,74;21,23;3,46;60,1;14,03;326,75;;;
Cachoeira dos Índios (PB);6143;3403;3522;7,21;7,39;6,59;6,01;5,49;5,51;3,47;44,23;46,28;782,43;;;
Cachoeira do Sul (RS);12127;71700;40624;18,79;17,89;18,02;24,13;22,32;24,67;13,88;16,84;45,15;1252,59;;;
Cachoeira Dourada (GO);2897;5357;3807;50,78;64,74;76,22;10,31;9,01;9,24;69,62;8,31;11,75;1892,8;;;
Cachoeira Dourada (MG);280;2225;1227;17,45;18,12;16,45;30,11;33,54;32,76;5,75;37,4;26,73;1321,52;;;
Cachoeira Grande (MA);4654;3792;2094;4,15;4,05;4,21;30,21;25,84;21,9;4,64;47,7;17,45;878,59;;;
Cachoeira Paulista (SP);5519;24572;13748;12,73;12,02;11,42;3,46;2,48;2,98;10,71;19,73;66,1;1297,04;;;
Cachoeiras de Macacu (RJ);7329;46944;26081;13,48;12,71;12,23;4,78;5,25;5,38;20,75;42,8;31,67;1207,43;;;
Cachoeirinha (PE);3614;15205;7188;6,18;5,9;5,68;11,2;12,4;13,45;3,9;43,37;41,54;805,39;;;
Cachoeirinha (RS);;118278;61011;38,81;34,29;27,6;0,02;0,02;0,03;29,51;13,9;56,57;1517,86;;;
Cachoeirinha (TO);417;1731;778;7,59;7,1;7,73;17,39;17,8;19,38;3,22;64,12;15,27;831,31;;;
Cachoeiro de Itapemirim (ES);16300;173589;91958;18,8;16,59;15,21;1,01;0,99;1,28;27,26;17,55;54,18;1219,59;;;
Cacimba de Areia (PB);1883;1674;1306;5,97;5,49;5,2;10,72;9,31;11,25;3,36;65,25;20,66;740,07;;;
Cacimba de Dentro (PB);7590;9158;6026;4,64;4,46;4,47;3,44;3,31;3,9;3,38;67,37;25,81;996,55;;;
Cacimbas (PB);5173;1641;2282;4,68;4,52;4,59;4,1;3,39;4,16;5,26;71,75;18,89;908,2;;;
Cacimbinhas (AL);4793;5402;3274;5,14;5,32;4,83;15,65;17,17;15,8;4,79;51,7;27,85;962,72;;;
Cacique Doble (RS);3240;1628;2303;13,17;12,34;13,24;46,27;44,25;48,87;5,56;23,08;25,09;1069,63;;;
Cacoal (RO);16653;61921;37317;15,1;14,85;14,69;10,09;10,39;10,74;12,58;28,13;49,2;1182,18;;;
Caconde (SP);5899;12639;9028;10,44;10,88;10,79;23,62;18,38;22,16;10,63;25,21;40,54;1072,46;;;
Caçu (GO);2548;10735;6970;26,34;27,63;35,65;16,87;18,28;14,7;45,06;12,27;25,8;1564,66;;;
Caculé (BA);8927;13309;10653;10,04;6,96;6,74;3,79;5,18;6,63;6,16;22,21;67,83;842,22;;;
Caém (BA);6713;3655;3894;5,11;5,75;5,7;16,13;23,03;29,12;8,23;49,78;25,86;1001,29;;;
Caetanópolis (MG);1829;8389;4970;15,45;12,83;12,9;13,71;13,71;13,13;33,4;17,22;35,66;973,37;;;
Caetanos (BA);10348;3291;3868;3,21;3,31;3,19;7,27;7,96;7,1;5,92;62,99;23,82;1092,88;;;
Caeté (MG);5314;35436;18622;10,79;9,4;9,15;2,29;2,51;2,98;24,21;25,36;48,13;1134,98;;;
Caetés (PE);19057;7520;9270;4,46;5,06;5,74;9,51;14,78;10,13;4,07;60,23;26,19;1125,07;;;
Caetité (BA);19068;28447;22008;9,61;9,95;8,03;3,29;3,46;4,72;35,18;24,88;36,65;1147,91;;;
Cafarnaum (BA);6646;10563;5916;4,9;5,34;8,51;16,05;16,17;9,81;5,94;45,1;32,92;1130,31;;;
Cafeara (PR);500;2195;1284;13,3;13,19;14,46;41,83;40,58;45,68;5,66;28,37;24,14;1157,46;;;
Cafelândia (PR);2314;12348;8502;60,38;59,35;59,25;12,88;9,49;10,14;33,39;5,59;48,14;1078,87;;;
Cafelândia (SP);2181;14426;7893;14,83;14,25;16,62;19,34;15,46;27,9;15,34;20,08;45,23;1115,22;;;
Cafezal do Sul (PR);965;3325;2150;12,33;12,21;12,48;42,18;38,85;38,76;4,2;27,97;25,66;1012,59;;;
Caiabu (SP);757;3315;1811;9,08;8,61;9,07;29,14;25,17;31,81;5,73;34,85;30,29;1138,37;;;
Caiana (MG);2350;2618;2371;6,83;7,14;7,28;19,97;24,42;28,05;5,97;45,32;28,74;880,8;;;
Caiapônia (GO);4488;12269;8035;22,45;19,41;23;55,98;53,39;59,38;6,27;12,94;24,82;1330,82;;;
Caibaté (RS);2209;2745;2352;20,6;19,7;22,02;34,03;32,63;39,35;5,93;19,25;40,79;1477,28;;;
Caibi (SC);2641;3578;3659;22,94;19,57;19,71;24,68;26,54;24,05;27,72;14,52;33,08;1208,89;;;
Caiçara do Norte (RN);122;5894;2064;5,15;5,76;6,18;27,73;25,18;22,55;1,79;52,57;17,92;1039,04;;;
Caiçara do Rio do Vento (RN);782;2526;955;6,56;6,24;6,09;4,01;4,5;4,4;3,39;63,89;28,71;1095,85;;;
Caiçara (PB);2030;5190;2924;6;5,54;5,23;6,47;7,26;7,07;3,66;57,57;32,29;832,09;;;
Caiçara (RS);3477;1594;3144;13,64;11,7;12,79;51,55;42,71;47,49;4,44;25,12;18,89;1033,83;;;
Caicó (RN);5248;57461;30003;10,99;10,54;10,41;2,67;2,98;2,69;6,64;30,94;59,75;925,78;;;
Caieiras (SP);2143;84386;44819;33,14;20,69;18,52;0,09;0,1;0,11;34,69;9,09;56,13;1837,85;;;
Cairu (BA);7227;8147;6936;80,31;48,9;16,71;1,81;2,93;6,36;67,01;3,21;27,97;846,04;;;
Caiuá (SP);3109;1930;1901;10,97;9,51;9,29;39,31;34,19;36,93;4,26;33,52;22,9;1260,08;;;
Cajamar (SP);1291;62823;29694;117,23;113,49;118,62;0;0;0,02;23,2;3,86;72,93;1963,12;;;
Cajapió (MA);6708;3885;3665;2,97;2,9;3,11;17,02;14,23;14,38;4,09;58,45;20,45;859,07;;;
Cajari (MA);14054;4284;4764;3,5;3,41;3,41;26,9;24,15;21,09;3,13;52,76;17,2;818,19;;;
Cajati (SP);7652;20720;11414;29,71;22,86;24,16;13,76;15,26;22,01;44,01;10,8;31,42;1605,36;;;
Cajazeiras do Piauí (PI);2231;1112;1438;4,6;4,51;4,43;16,37;14,25;12,39;3,17;62,89;17,56;939,57;;;
Cajazeiras (PB);10945;47501;25796;11,67;11,15;11,24;1,69;1,64;1,73;7,68;30,05;60,58;1016,72;;;
Cajazeirinhas (PB);2033;1000;735;6,34;5,82;5,74;10,2;10,79;10,24;3,61;68,73;17,47;1032,84;;;
Cajobi (SP);635;9133;5147;8,93;8,1;9,35;16,3;9,96;19,51;5,7;32,28;45,72;1126,57;;;
Cajueiro (AL);3925;16484;5511;5,02;4,77;4,78;13,24;3,25;3,72;12,56;51,51;22,69;901,15;;;
Cajueiro da Praia (PI);4464;2699;2078;6,56;6,38;6,67;37,41;34,47;32,84;2,67;42,7;17,22;1015,42;;;
Cajuri (MG);1951;2096;1641;9,96;9,22;10,32;14,56;15,7;14,34;24,91;33,77;26,76;924,6;;;
Cajuru (SP);2576;20795;11357;15,53;13,64;14,26;19,44;17,31;22,49;18,89;18,29;43,38;1230,39;;;
Calçado (PE);7315;3810;4890;6,09;5,98;4,49;30,09;31,8;14,04;3,37;47,11;19,44;1114,56;;;
Calçoene (AP);1693;7307;3589;9,59;9,7;9,43;11,08;10,1;9,6;4,89;62,12;21,91;1050,62;;;
Caldas Brandão (PB);2413;3224;1943;6,42;7,4;7,05;14,32;13,51;13,2;7,47;51,81;26,4;790,12;;;
Caldas (MG);5894;7739;7000;10,86;10,2;10,4;22,27;20,23;22,74;14,39;23,91;39,43;1427,78;;;
Caldas Novas (GO);2759;67714;36016;19,46;19,65;17,72;6,1;5,71;6,6;19,29;15,56;59,05;1116,67;;;
Caldazinha (GO);1407;1918;1598;9,35;8,71;8,06;23,81;23,19;25,35;13,05;37,91;25,22;1097,98;;;
Caldeirão Grande (BA);7933;4558;5207;4,7;4,57;4,99;8,72;9,44;14,13;11,33;52,33;27,63;845,52;;;
Caldeirão Grande do Piauí (PI);4009;1662;2245;5,46;6,47;5,57;4,35;10,21;13,76;29,54;50,22;15,88;1667,08;;;
Califórnia (PR);2041;6028;4080;10,13;10,25;10,79;28,27;26,62;25,63;9,28;28,99;33,45;1092,32;;;
Calmon (SC);1272;2115;1399;13,98;14,02;15,14;54,1;55,32;57,67;3,06;27,81;15,03;1039,4;;;
Calumbi (PE);3468;2180;1947;5,06;4,62;4,9;4,19;3,07;4,17;3,23;60,37;32,21;891,45;;;
Camacan (BA);6787;24685;11032;6,01;5,8;5,38;9,3;12,21;11,29;10,82;38,1;41,78;972,27;;;
Camaçari (BA);10997;231973;120313;49,23;51,31;49,86;0,12;0,13;0,13;52,02;7,33;40,53;2296,12;;;
Camacho (MG);1696;1458;1432;6,94;8,92;10,22;27,83;35,3;41,79;4,28;42,83;25,06;1157,71;;;
Camalaú (PB);2862;2887;2518;6,22;6,3;6,34;16,94;19,22;15,43;3,31;53,25;26,5;979,63;;;
Camamu (BA);19562;15618;14064;6,42;6,91;6,15;27,06;24,18;26,81;7,04;32,24;33,66;1154,46;;;
Camanducaia (MG);5611;15469;10758;17,03;15,63;15,93;6,49;5,3;6,04;31,45;17,05;45,01;1155,63;;;
Camapuã (MS);3828;9797;6703;18,57;18,69;19,13;39,07;42,17;41,78;3,86;22,62;34,46;1199,35;;;
Camaquã (RS);13408;49356;29659;19,81;18,85;18,41;17,01;17,71;19,16;18,27;16,44;48,27;1323,27;;;
Camaragibe (PE);;144466;63475;6,85;6,39;6,31;1,03;0,6;0,6;5,57;37,79;55,61;1084,4;;;
Camargo (RS);1497;1095;1428;41,99;41,79;42,39;35,3;30,82;33,76;16,95;10,74;37,01;1387,27;;;
Cambará do Sul (RS);3501;3041;3161;14,16;14,14;14,16;29,63;28,97;30,89;17,63;25,72;27,02;1201,99;;;
Cambará (PR);1521;22365;11568;17,2;16,9;17,26;13,53;15,74;15,09;29,45;17,03;39,99;1236,96;;;
Cambé (PR);3781;92952;51736;24,89;24,61;22,89;4,8;4,93;5,1;24,52;12,97;57,72;1419,65;;;
Cambira (PR);1761;5475;3837;17,43;15,59;15,28;18,19;19,63;20,57;31,96;18,38;31,46;1160,34;;;
Camboriú (SC);3130;59231;32426;11,05;10,93;10,5;1,77;1,73;2,08;19,42;27,59;51,22;1302,07;;;
Cambuci (RJ);3535;11292;6666;15,01;13,91;14,97;22,85;19,03;21,3;10,42;37,83;28,9;1048,91;;;
Cambuí (MG);4129;22359;13971;20,84;21,82;22,97;3,32;3,07;3,82;29,5;14,92;52,26;1073,32;;;
Cambuquira (MG);2145;10457;6292;13,86;12,49;14,95;44,46;40,9;49,05;5,21;18,6;31,72;849,49;;;
Cametá (PA);68058;52838;44001;5,17;5,45;5,69;28,11;29,52;32,89;3,79;44,71;23,39;1185,86;;;
Camocim (CE);15501;44657;21919;6,79;6,3;6,48;12,62;11,93;11,29;18,45;32,82;36,11;716,27;;;
Camocim de São Félix (PE);2777;14327;5808;5,69;5,52;5,43;7,34;10,92;10,55;3,47;50,37;38,82;1020,38;;;
Campanário (MG);913;2651;1403;8,07;7,19;7,07;14,79;14,37;14,66;4,98;41,98;38,25;800,23;;;
Campanha (MG);2107;13326;7777;13,88;13,26;12,96;14,11;11,83;18,07;11,72;20,22;53,94;906,75;;;
Campestre (AL);1058;5540;1961;5,96;5,75;5,34;24,68;22,12;29,55;2,24;51,17;21,91;702,75;;;
Campestre da Serra (RS);2016;1231;1866;25,15;27,14;27,38;42,07;43,97;46,95;17,13;17,49;23,3;1403,41;;;
Campestre de Goiás (GO);1011;2376;1402;10,47;10,15;8,98;31,26;33;31,55;10,45;32,35;25,93;965,5;;;
Campestre do Maranhão (MA);2748;10621;5092;5,66;6,89;6,99;33,73;41,16;35,97;6,11;35,68;24,48;1421,49;;;
Campestre (MG);9727;10959;11210;10,11;10,33;10,54;26,62;28,31;31,64;6,3;25,62;41,46;928,73;;;
Campinaçu (GO);1483;2173;1496;11,17;10,81;8,86;39,7;41,06;49,02;3,69;33,41;23,2;1067,97;;;
Campina da Lagoa (PR);2837;12557;7240;18,54;17,75;19,35;35,08;33,01;37,23;8,62;15,76;40,54;1059,52;;;
Campina das Missões (RS);3929;2188;3695;13,87;14,57;16,02;37,62;36,38;42,64;5,13;24,65;32,6;1220,78;;;
Campina do Monte Alegre (SP);857;4710;2400;11,56;11,04;12,3;16,04;19,73;31,94;8,2;27,09;48,67;1290,21;;;
Campina do Simão (PR);2688;1388;1840;16,67;13,03;13,49;52,34;44,7;47,2;13,24;20,08;14,35;1022,95;;;
Campina Grande do Sul (PR);6808;31961;19608;19,54;18,97;18,11;1,86;1,83;2,07;16,06;16,76;65,33;1454,29;;;
Campina Grande (PB);18004;367209;174134;14,72;14,18;13,63;0,29;0,3;0,28;23,22;23,07;53,43;1330,69;;;
Campinápolis (MT);9485;4820;3948;9,15;9,5;11,24;24,96;22,39;27,89;9,7;41,81;23,54;1523,44;;;
Campinas do Piauí (PI);3601;1807;1681;4,76;4,8;4,75;14,66;15,2;11,23;3,79;58,29;23,26;1024,38;;;
Campinas do Sul (RS);1289;4217;3101;24,11;22,67;24,66;33,76;32,98;39,32;5,85;13,92;46,47;1223,77;;;
Campinas (SP);18573;1061540;565459;37,25;35,45;33,11;0,24;0,23;0,24;20,82;8,86;70,08;2304,01;;;
Campina Verde (MG);4891;14433;9083;18,61;18,4;17,99;25,27;20,11;25,56;22,02;15,33;37,38;1010,9;;;
Campinorte (GO);2116;8995;4945;13,22;12,19;10,57;20,96;19,59;17,45;7,98;20,6;50,46;1055,36;;;
Campo Alegre (AL);28655;22161;12976;4,82;5,07;5,06;20,17;17,18;22,1;15,1;45,68;19,06;1123,8;;;
Campo Alegre de Goiás (GO);1579;4481;3049;40,05;32,52;37,15;62,9;59,27;64,12;6,31;8,96;21,83;1257,83;;;
Campo Alegre de Lourdes (BA);19964;8126;8804;4,11;4,39;4,27;7,4;13,03;11,97;11,1;47,88;33,63;1054,38;;;
Campo Alegre do Fidalgo (PI);3469;1224;1254;4,32;4,27;4,26;4,74;5,14;4,19;3,42;69,93;21,91;1088,21;;;
Campo Alegre (SC);4511;7237;6144;23,44;20,17;21,47;15,96;16,3;14,44;42,68;14,44;26,93;1352,62;;;
Campo Azul (MG);2133;1551;1558;5,94;5,77;5,81;13,82;15,08;15,97;4,16;56,94;25,08;839,22;;;
Campo Belo do Sul (SC);3077;4406;3638;15,9;16,62;19,23;40,65;46,28;51,7;8,62;21,2;29,54;1104,81;;;
Campo Belo (MG);2918;48626;25495;12,1;11,4;11,45;3,75;4,2;6,72;19,27;22,53;54,44;944,54;;;
Campo Bom (RS);2736;57338;33786;28,82;29,25;29,28;0,1;0,1;0,09;41,44;13,58;44,89;1508,19;;;
Campo Bonito (PR);1827;2580;2150;23,28;24,31;25,55;61,77;61,29;63,65;4,06;14,77;19,39;1259,42;;;
Campo do Brito (SE);8419;8330;7366;6,77;7,45;7,51;10,23;8,87;7,79;12,06;50,78;26,93;1004,38;;;
Campo do Meio (MG);1417;10059;5605;7,65;8,24;8,62;17,68;25,2;29,18;6,86;36,17;39,29;889,71;;;
Campo do Tenente (PR);2931;4194;3068;15,62;14,79;13,64;36,63;36,05;32,48;13,28;19,64;30,45;1023,11;;;
Campo Erê (SC);3118;6252;4700;19,78;18,65;19,93;31,32;30,7;35,3;10,35;16,58;41,75;1109,82;;;
Campo Florido (MG);1662;5208;3388;34,5;32,33;34,26;32,49;28,48;39,01;25,18;10,5;31,83;1610,32;;;
Campo Formoso (BA);41753;24863;27857;6,39;6,11;6,6;6,11;7,36;5,77;26,43;33,63;33,84;1374,71;;;
Campo Grande (AL);4847;4185;3019;4,83;5,09;4,53;13,28;13,78;12,66;5,53;58,69;22,5;888,58;;;
Campo Grande do Piauí (PI);4023;1569;2115;5,19;5,76;5,75;7,4;14,63;15,82;4,15;55,76;32,7;1249,18;;;
Campo Grande (MS);10555;776242;417749;22,24;20,47;19,55;1,08;1,19;1,41;19,03;19,93;59,95;2105,3;;;
Campo Largo do Piauí (PI);5373;1430;2344;3,67;3,63;3,67;8,18;7,81;8,07;3,1;72,93;15,78;956,62;;;
Campo Largo (PR);18206;94171;57546;23,23;20,88;20,13;1,92;2,23;2,48;41,37;13,24;43,48;1486,81;;;
Campo Limpo de Goiás (GO);952;5289;2828;9,67;8,56;7,51;17,72;16,42;15,59;23,29;31,97;27,01;1405,01;;;
Campo Limpo Paulista (SP);;74074;38153;15,64;14,35;13,62;0,57;0,58;0,53;31,21;18,12;50,1;2108,1;;;
Campo Magro (PR);5296;19547;12191;8,49;8,47;8,49;11,21;11,62;12,48;13,27;34,93;40,59;1601,67;;;
Campo Maior (PI);11656;33521;18506;7,51;7,24;7,59;4,75;4,47;4,22;8,89;36,85;49,51;935,87;;;
Campo Mourão (PR);4518;82676;44589;25,01;23,95;23,9;5,51;5,31;5,84;25,64;12,67;56,18;1566,71;;;
Campo Novo de Rondônia (RO);9294;3371;5186;11,4;11,33;10,22;42,01;44,15;47,97;11,99;34,77;11,23;1337,55;;;
Campo Novo do Parecis (MT);1993;25584;13921;51,04;47,64;57,57;43,59;41,57;42,64;12,53;8,49;35,39;1577,04;;;
Campo Novo (RS);1350;4109;2316;23,48;24,23;24,2;31,05;28,11;29,63;9,2;16,23;43,52;1326,79;;;
Campo Redondo (RN);5069;5197;2813;4,56;4,49;4,22;3,49;3,6;3,48;2,98;74,51;19,02;938,86;;;
Campos Altos (MG);1293;12913;7179;13,34;12,82;15,13;36,66;36,68;43,91;6,07;21,21;36,07;1087,71;;;
Campos Belos (GO);2204;16206;7899;9,6;9,11;8,34;5,94;6,34;6,91;7,44;30,33;56,29;1043,35;;;
Campos Borges (RS);1488;2006;1899;16,38;16,85;17,09;36,15;37,74;41,05;5,34;22,92;35,59;1060,03;;;
Campos de Júlio (MT);1140;4014;2547;124,27;114,17;134,32;49,58;47,71;44,66;10,49;4,6;35,34;1634,89;;;
Campos do Jordão (SP);298;47491;25000;16,38;16,21;15,54;0,46;0,41;0,4;11,53;20,76;67,25;1241,82;;;
Campos dos Goytacazes (RJ);45006;418725;204089;94,99;50,95;23,55;0,28;0,59;1,13;65,86;5,74;28,12;1622,46;;;
Campos Gerais (MG);8444;19156;13745;10,03;8,67;11,09;24,78;17,93;35,22;6,72;25,86;42,64;874,24;;;
Campos Lindos (TO);3320;4819;2525;32,63;24,12;19,02;48;45,2;41,34;12,53;12,84;26,64;1246,25;;;
Campos Novos Paulista (SP);1011;3528;1938;19,4;15,37;18,79;39,56;29,25;43,34;3,87;18,62;37,95;1216,75;;;
Campos Novos (SC);5760;27064;16030;39,11;38,91;36,64;16,26;14,56;18,39;38,02;9,48;36,24;1399,65;;;
Campos Sales (CE);7425;19081;10451;5,8;5,31;4,93;8,83;9;5,15;4,28;41,82;45,07;792,58;;;
Campos Verdes (GO);544;4476;2055;9,32;7,62;7,96;17,79;22,83;23,98;5,04;42,62;34,55;722,9;;;
Campo Verde (MT);6117;25472;16930;38,94;36,48;40,24;44,78;43,33;45,14;9,51;9,99;35,72;1518,8;;;
Camutanga (PE);1622;6534;3064;15,6;19,33;15,18;7,42;6,5;8,91;38,19;23,33;31,06;1101,4;;;
Canaã dos Carajás (PA);5989;20727;11505;68,17;74,67;44,64;1,74;1,59;3,1;73,48;6,57;18,21;2054,26;;;
Canaã (MG);2769;1859;2193;7,65;7,41;8,04;35,28;33,38;39,33;4,67;38,78;21,27;813,17;;;
Canabrava do Norte (MT);2095;2691;2073;14,71;14,07;20,81;52,12;48,43;59,9;6,09;26,82;14,97;1119,56;;;
Cananéia (SP);1790;10436;5302;25,8;16,86;10,72;6,46;6,11;14,9;48,27;12,07;33,19;1208,62;;;
Canapi (AL);11712;5538;5663;3,46;3,75;3,75;7,64;6,78;7,4;2,5;64,31;25,55;1053,13;;;
Canápolis (BA);6185;3225;3135;4,36;4,29;4,01;18,43;17,59;16,2;7,96;49,7;23,91;663,79;;;
Canápolis (MG);1185;10180;5766;18,59;15,4;18,11;36,57;24,98;26,39;16,62;16,96;29,86;894,5;;;
Canarana (BA);12612;11455;10956;4,32;4,52;4,33;10,07;12,43;10,33;6,41;49,62;33,9;1088,38;;;
Canarana (MT);3949;14805;9111;35,85;34,58;33,48;33,82;33,92;34,1;6,33;11,44;48,41;1349,19;;;
Canas (SP);315;4070;1939;24,64;22,77;20,36;2,62;1,3;3,71;35,08;14,39;47,91;1211,66;;;
Cana Verde (MG);1521;4068;2582;7,59;7,71;7,86;17,12;21,36;19,46;8,57;38,41;35,9;960,37;;;
Canavieira (PI);2183;1738;1311;5,06;4,93;4,61;15,09;14,73;14,45;4,55;61,82;18,54;1131,73;;;
Canavieiras (BA);6433;25903;12916;6,29;6,49;6,2;28,28;29,27;27,16;6,12;34,63;30,97;775,4;;;
Candeal (BA);5419;3476;3956;4,16;4,16;4,02;17,15;17,99;15,03;4,21;51,51;27,13;831,34;;;
Candeias (BA);7164;75994;38235;27,51;27,55;25,61;0,39;0,41;0,46;49,82;12,04;37,74;1805,39;;;
Candeias do Jamari (RO);6892;12887;8249;10,6;11,93;10,74;16,16;16,02;18,35;21,42;39,19;23,23;1164,94;;;
Candeias (MG);4389;10206;7534;10,81;10,97;13,45;20,52;24,05;35,34;13,52;26,03;39,93;898,04;;;
Candelária (RS);14456;15715;17207;15,03;15,3;14,41;27,99;27,15;26,09;12,2;20,91;38,9;1220,87;;;
Candiba (BA);5485;7725;5904;4,46;4,64;4,61;14,13;14,24;14,44;6,42;43,41;36,05;763,86;;;
Cândido de Abreu (PR);11903;4752;7568;12,87;11,64;12,32;41,95;33,74;39,89;8,45;22,47;27,13;1114,23;;;
Cândido Godói (RS);4689;1846;4117;22,09;20,45;22,13;31,51;30,01;37,15;14,29;16,17;38,04;1512,32;;;
Cândido Mendes (MA);6594;11911;6704;4,1;3,8;4,18;18,97;16,11;14,34;4,31;52;24,72;988,3;;;
Cândido Mota (SP);1788;28096;13537;20,37;21;19,49;10,95;11,34;12,73;17,75;14,88;56,42;1418,33;;;
Cândido Rodrigues (SP);515;2153;1340;20,58;20,26;21,04;32,57;34,95;39,63;10,06;20,31;37,05;1125,9;;;
Cândido Sales (BA);8632;19286;11247;4,53;4,57;4,33;8,64;8,36;6,62;7,09;48,22;36,05;1331,85;;;
Candiota (RS);6173;2598;4090;17,14;20,76;32,5;18,21;14,85;12,08;13,66;29,03;39,1;4338,82;;;
Candói (PR);7957;7026;6348;19,22;18,61;20,36;42,3;40,42;43,96;7,82;16,91;32,97;1357,16;;;
Canela (RS);3398;35831;19881;15,17;15,42;15,25;1;0,98;0,89;17,31;22,93;58,75;1412,55;;;
Canelinha (SC);3877;6726;4531;12,75;11,02;9,3;3,82;3,88;4,26;26,53;24,93;44,71;1158,49;;;
Canguaretama (RN);10681;20235;10603;8,65;8,99;8,04;35,5;33,04;35,41;3,52;37,77;23,21;871,33;;;
Canguçu (RS);33565;19694;29430;12,63;12,24;12,62;33,24;30,58;35,36;5,13;24,68;36,95;1163,93;;;
Canhoba (SE);2457;1499;1622;8,18;8,19;7,28;24,91;26,4;22,05;5,27;53,53;16,29;1120,96;;;
Canhotinho (PE);10415;14106;8552;5,52;5,06;5,33;9,1;16,38;21,29;13;48,38;29,51;888,23;;;
Canindé (CE);27598;46875;23022;5,81;5,77;5,52;9,46;6,22;6,44;5,06;41,59;43,89;1034,31;;;
Canindé de São Francisco (SE);10623;14063;9180;19,35;31,47;29,41;2,89;1,57;1,53;60,52;23,94;12,66;1435,26;;;
Canitar (SP);231;4138;1931;18,5;13,39;13,55;8,56;6,68;10,23;42,67;19,03;29,73;1269,85;;;
Canoas (RS);;323827;162748;23,12;34,36;37,84;0,06;0,04;0,04;9,87;17,66;72,41;1926,29;;;
Canoinhas (SC);13492;39273;24832;20,93;19,51;17,83;19,04;15,6;17,61;20,19;14,2;46,57;1357,85;;;
Cansanção (BA);21887;11021;13029;4,44;5;4,6;11,25;16,24;11,59;5,45;50,85;32,44;928,13;;;
Cantagalo (MG);1716;2479;1698;6,8;6,97;6,97;26,9;27,99;24,24;6,59;43,73;22,78;805,72;;;
Cantagalo (PR);4443;8509;5611;10,78;10,41;11,38;33,39;31,86;36,63;5,73;26,46;34,42;1068,47;;;
Cantagalo (RJ);5808;14022;9819;34,02;37,66;29,14;2,65;2,44;3,05;54,4;17,81;25,13;1490,48;;;
Cantanhede (MA);7489;12959;5302;3,71;3,7;3,74;13,26;11,12;9,3;6,23;53,73;26,78;1186,57;;;
Cantá (RR);11645;2257;4089;10,01;9,38;9,1;13,99;17,25;14,34;6,08;66,31;13,62;920,01;;;
Canto do Buriti (PI);8890;11130;7178;6,13;6,3;6,48;10,63;16,07;16,93;6,55;42,76;40,06;977,06;;;
Canudos (BA);7034;8698;6138;4,88;4,59;5,07;15,55;11,97;19,52;5,44;46,44;32,57;996,1;;;
Canudos do Vale (RS);1396;411;1216;17,58;15,85;15,75;54,93;52,27;54,27;2,49;25,82;16,76;1382,89;;;
Canutama (AM);6056;6682;4650;4,65;4,2;4,22;12,34;12;16,15;6,44;64,64;16,58;1077,81;;;
Capanema (PA);12907;50732;26012;10,91;10,43;9,79;2,96;2,98;5,19;22,42;21,38;53,24;1010,38;;;
Capanema (PR);7376;11150;10507;19,88;18,26;22,7;24,07;21,87;17,99;21,15;14,9;39,87;1462,79;;;
Capão Alto (SC);1791;962;1392;20,74;22,5;25,8;41,96;45,89;44,89;11,53;24,08;22,43;1222,4;;;
Capão Bonito do Sul (RS);1255;499;669;48,89;47,54;51,03;63,12;62,24;65,72;7,43;9,88;19,57;1377,15;;;
Capão Bonito (SP);8354;37824;20862;12,13;11,44;11,64;17,5;15,87;19,99;8,6;22,24;51,66;1177,31;;;
Capão da Canoa (RS);253;41787;20671;18,09;18,37;18,15;0,13;0,13;0,14;18,07;21;60,8;1197,46;;;
Capão do Cipó (RS);2585;519;1460;56,56;51,77;53,56;64,34;61,2;63,57;3,69;8,23;23,75;1501,02;;;
Capão do Leão (RS);1916;22382;10349;12,9;14,83;13,31;15,15;12,91;10,47;29,52;26,2;29,14;1309,86;;;
Caparaó (MG);3203;2006;2363;8,16;8,9;11,23;24,38;31,05;44,93;4,86;37,45;33,31;1042,76;;;
Capela (AL);4427;12650;5236;6,59;6,5;6,9;24,73;21,92;22,93;4,32;43,08;27,87;881,93;;;
Capela de Santana (RS);4697;6915;5837;11,64;11,5;11,07;15,4;14,81;15,1;22,41;28,74;33,44;1132,12;;;
Capela do Alto Alegre (BA);5932;5595;4940;5,22;4,87;4,43;22,82;20,75;16,39;7,3;44,63;25,26;1006,08;;;
Capela do Alto (SP);3010;14522;8238;10,62;9,91;9,65;18,67;16,08;19;8;28,73;44,6;1125,24;;;
