Territorialidades;% dos ocupados no setor agropecuário 2010;% dos ocupados no setor extrativo mineral 2010;Esperança de vida ao nascer 2010;População rural 2010;População urbana 2010;População economicamente ativa de 18 anos ou mais de idade 2010;Produto Interno Bruto per capita 2014;Produto Interno Bruto per capita 2015;Participação da Agropecuária no Valor Adicionado 2014;Participação da Agropecuária no Valor Adicionado 2015;Participação da Indústria no Valor Adicionado 2014;Participação da Indústria no Valor Adicionado 2015;% de cobertura vegetal natural 2014;Expectativa de anos de estudo aos 18 anos de idade 2010
Mariano Moro (RS);43,57;;75,55;1057;1153;1241;17,06;15,58;47,99;43,45;3,78;3,73;22,63;10,62
Marianópolis do Tocantins (TO);49,64;;72,53;1969;2383;2017;10,8;12,17;40,23;43,9;4,94;3,72;55,22;9,39
Mariápolis (SP);33,29;0,29;74,78;779;3137;1832;10,65;9,39;40,54;35,74;5,62;5,98;1,72;9,75
Maribondo (AL);28,87;4,69;70,07;3641;9978;4521;6,18;6,61;5,97;5,18;3,79;3,34;3,32;9,65
Maricá (RJ);1,47;0,83;75,99;1970;125491;60479;53,67;47,18;0,1;0,12;62,23;57,41;35,63;9,03
Marilac (MG);36,82;0,35;71,86;796;3423;1403;6,71;6,4;15,7;14,29;5,05;5,08;7,63;8,85
Marilândia do Sul (PR);46,47;0,15;74,88;2549;6314;4120;19,43;21,01;42,61;43,34;5,98;5,58;13,09;10,28
Marilândia (ES);45,89;0,36;74,35;5459;5648;5988;12,86;12,26;20,82;19,3;7,96;10,07;26,24;8,57
Marilena (PR);36,2;0,33;74,69;1874;4984;3217;10,89;10,69;32,3;32,07;6,87;8,2;11,23;11,18
Marília (SP);2,99;0,03;76,26;9724;207021;111875;22,35;21,55;0,87;0,98;18,57;19,28;10,57;10,99
Mariluz (PR);36,05;;72,65;1757;8467;4338;12,78;11,69;40,84;36,36;5,08;5,22;8,98;10,05
Maringá (PR);2,19;0,05;76,1;6424;350653;198538;29,27;28,08;0,63;0,65;21,2;20,23;4,63;11,37
Marinópolis (SP);33,23;;74,5;442;1671;1027;10,43;9,46;26,92;22,96;5,4;5,69;2,45;11,54
Mário Campos (MG);11,31;3,25;74,99;734;12458;6141;7,7;7,22;8,7;8,86;8,6;8,88;26,14;8,56
Mariópolis (PR);37,8;0,26;73,24;1799;4469;3130;23,34;22,26;41,48;36,48;10,29;12,21;15,5;10,73
Maripá de Minas (MG);12,27;0,68;75,84;522;2266;1175;11,34;10,68;13,58;13,2;23,69;20,3;21,66;9,69
Maripá (PR);50,73;0,08;76,97;2422;3262;3402;37,23;36,75;43,19;39,72;13,62;14,55;6,06;11,15
Mari (PB);43,24;;66,5;3721;17455;7474;5,46;5,63;7,94;8,73;5,09;5,95;2,86;9
Marituba (PA);2,83;0,1;72,6;1123;107123;45358;9,28;9,36;0,28;0,3;15,02;12,18;62,23;9,2
Marizópolis (PB);24,82;0,19;70,16;816;5357;1923;5,17;5,18;5,55;5,17;4,21;5,69;67,74;9,59
Marliéria (MG);26,04;0,17;75,29;1168;2844;1630;6,57;6,6;12,87;11,14;5,62;6,82;55,43;9,15
Marmeleiro (PR);39,13;0,35;75,5;5076;8824;7458;16,88;17,72;30,59;26,62;9,88;10,19;21,08;9,55
