Territorialidades;% dos ocupados no setor agropecuário 2010;% dos ocupados no setor extrativo mineral 2010;Esperança de vida ao nascer 2010;População rural 2010;População urbana 2010;População economicamente ativa de 18 anos ou mais de idade 2010;Produto Interno Bruto per capita 2014;Produto Interno Bruto per capita 2015;Participação da Agropecuária no Valor Adicionado 2014;Participação da Agropecuária no Valor Adicionado 2015;Participação da Indústria no Valor Adicionado 2014;Participação da Indústria no Valor Adicionado 2015;% de cobertura vegetal natural 2014;Expectativa de anos de estudo aos 18 anos de idade 2010
Alagoa (MG);54,15;;74,93;1599;1110;1296;8,04;7,83;21,15;15,49;3,22;3,59;34,99;9,16
Alagoa Nova (PB);51,1;;69,93;9887;9794;7719;8,61;9,06;36,64;39,25;6,89;8,2;21,58;8,97
Alagoinha do Piauí (PI);59,75;0,16;67,95;4672;2669;1928;4,11;4,34;11,01;13,73;3,92;3,64;60,25;7
Alagoinha (PB);42,71;;72,72;4542;9034;5078;4,66;4,62;8,08;9,41;3,56;4,1;18,17;9,01
Alagoinha (PE);53,95;0,29;73,04;5990;7769;5594;5,77;5,69;15,02;19,48;2,29;2,39;42,12;8,29
Alagoinhas (BA);10,05;2,37;72,39;17907;124042;64401;14,13;12,79;2,75;2,9;29,87;24,41;32,52;8,71
Alambari (SP);24,45;0,16;73,27;1212;3672;2222;10,28;10,99;31,46;38,28;7,21;7,36;11,1;10,52
Albertina (MG);52,97;;73,76;901;2012;1582;18,69;18,24;13,6;12,99;4,11;5,28;19,66;8,79
Alcântara (MA);49,19;;70,18;15452;6399;7243;3,64;3,48;16,54;15,25;7,69;8,73;67,59;8,21
Alcântaras (CE);28,26;0,13;70,07;7323;3448;3754;4,19;3,78;7,96;6,92;8,88;3,86;95,26;9,43
Alcantil (PB);42,97;0,34;70,91;3175;2064;1918;5,14;4,92;11,96;11,31;3,12;4,19;61,41;7,82
Alcinópolis (MS);36,75;;76,46;1433;3136;2297;22,66;23,21;53,88;58,06;3,26;3,64;37,86;9,93
Alcobaça (BA);43,3;0,37;71,28;10186;11085;8933;7,1;7,27;28,33;27,74;4,94;4,73;15,96;8,1
Aldeias Altas (MA);55,91;;68,22;10318;13634;7617;5,25;5,83;35,74;41,69;5,65;6,5;95,27;6,68
Alecrim (RS);67,7;;76,13;4880;2165;3685;10,07;9,88;29,85;28,33;3,92;3,33;23,28;11,36
Alegre (ES);29,17;0,53;75,35;9256;21512;15078;11,35;9,68;6,73;7,83;28,38;19,32;16,61;9,75
Alegrete do Piauí (PI);34;1,26;69,94;2316;2837;1703;4,48;4,77;8,43;10,23;3,25;3,2;55,1;8,69
Alegrete (RS);16,25;0,11;75,93;8059;69594;36601;16,69;16,74;22,72;23,81;12,78;12;61,85;10,98
Alegria (RS);67,28;0,25;74,07;2716;1585;2473;15,63;16,16;34,12;34,16;5,24;4,78;13,41;11,4
Além Paraíba (MG);6,73;0,44;76,43;2282;32067;16202;16,29;16,42;1,04;0,94;12,72;19,65;24,38;9,2
Alenquer (PA);49,58;;71,72;24904;27722;17531;7,7;6,85;44,94;39,79;4,8;4,96;89,53;7,82
Alexandria (RN);31,84;0,23;71,71;4318;9189;4614;5,68;5,87;7,12;3,66;2,12;2,17;42,47;8,74
Alexânia (GO);17,24;0,28;75,48;4138;19676;10345;20,43;20,18;9,96;8,67;18,61;20,47;39,13;8,84
Alfenas (MG);11,93;0,06;75,45;4598;69176;37041;19,63;19,5;5,01;5,07;15,86;15,1;4,65;10,39
Alfredo Chaves (ES);51,95;0,25;74,93;7410;6545;7764;16,56;14,3;22,72;22,63;29,7;22,88;58,18;9,31
Alfredo Marcondes (SP);16,39;;75,41;636;3255;1844;14,2;12,62;8,36;7,42;25,93;25,84;1,2;11,04
Alfredo Vasconcelos (MG);35,45;0,9;75,01;2044;4031;2693;8,73;8,83;33,1;31,1;13,9;11,19;19,2;9,01
Alfredo Wagner (SC);53,69;;77,9;6542;2868;4794;14,28;14,14;39,19;40,9;6,32;5,77;50,09;10,04
Algodão de Jandaíra (PB);49,69;;69,93;1135;1231;841;6,74;6,7;5,97;6,28;2,93;3,93;49,58;9,03
Alhandra (PB);34,31;;71,69;6854;11153;6300;29,52;28,88;3,41;3,42;10,52;16,1;13,01;8,67
Aliança do Tocantins (TO);23,55;;73,04;915;4756;2228;9,05;9,42;22,44;25,92;5,82;6,17;58,03;10,02
Aliança (PE);19,62;0,12;72,93;17168;20247;11504;5,3;5,05;12,89;16,2;4,81;4,16;2,46;8,48
Almadina (BA);43,84;0,17;70,07;1277;5080;2020;8,74;6,81;46,9;35,37;5,52;5,61;52,13;8,85
Almas (TO);32,29;3,32;72,74;1577;6009;2820;11,3;11,69;47,63;51,03;3,75;3,56;88,17;9,09
Almeirim (PA);35,34;2,01;73,55;13649;19965;13370;11,83;10,28;10,01;13,83;36,47;27,68;96,32;8,61
Almenara (MG);25,5;0,29;73,18;7025;31750;17312;7,99;8,03;4,39;3,65;12,71;11,64;36,09;8,59
Almino Afonso (RN);33,89;0,33;69,32;1392;3479;1763;4,98;5,05;6,82;5,85;7,2;7,36;74,49;9,91
Almirante Tamandaré do Sul (RS);60,81;0,17;74,67;1228;839;1197;39,16;41,89;53,56;55,73;5,16;4,75;14,28;10,22
Almirante Tamandaré (PR);3,48;0,58;75,39;4312;98892;50881;8,57;8,06;2,13;2,13;30,53;24,72;53,04;9,59
Aloândia (GO);41,37;0,63;75,02;282;1769;977;12,88;12,36;24,85;24,76;5,65;6,03;13,85;9,53
Alpercata (MG);19,67;0,76;74,43;1512;5660;2780;6,7;6,35;10,04;8,75;6,69;9,54;0,66;8,91
Alpestre (RS);70,11;;72,69;5816;2211;5004;12,34;50,6;39,04;8,38;4,33;77,52;23,46;10,27
Alpinópolis (MG);29,99;5,62;76,71;3498;14990;8814;11,64;11,11;18,67;16,74;9,4;8,57;19,14;9,39
Alta Floresta D'Oeste (RO);38,56;;70,75;10422;13970;9928;11,59;11,89;34,19;36,78;6,14;5,19;66,69;8,67
Alta Floresta (MT);21,63;0,53;73,99;6446;42718;24365;16,7;18,22;9,8;8,38;14,74;16,16;47,9;9,81
Altair (SP);55,36;;73;793;3022;1796;19,1;15,24;56,51;49,91;5,2;5,55;15,6;7,62
Altamira do Maranhão (MA);40,52;0,19;68,16;7909;3154;2531;3,7;3,74;30,45;29,49;3,26;3,75;21,45;8,75
Altamira do Paraná (PR);47,49;;71,79;2171;2135;2014;13,04;13,78;44,23;44,81;3,16;3,54;21,26;9,13
Altamira (PA);18,63;0,87;73,64;14983;84092;42494;29,11;21,32;5,93;8,31;55,69;40,77;94,87;8,65
Altaneira (CE);47,34;0,25;71,41;1899;4957;1950;5,14;4,3;21,34;10,35;3,73;3,89;70,94;10,36
Alterosa (MG);48,22;;75,83;3715;10002;6610;9,23;8,94;21,04;19,78;6,9;5,97;6,3;9,9
Altinho (PE);52,71;;72,54;9577;12776;8515;4,64;4,29;5,61;7,35;3,97;3,68;9,74;9,98
Altinópolis (SP);31,03;;75,57;1971;13636;7899;19,1;17,01;31,57;27,44;5,54;6,05;32,7;10,6
Alto Alegre do Maranhão (MA);36,41;0,12;69,62;5225;19374;7121;6,08;5,54;6,61;7,04;9,41;8,88;60,08;8,64
Alto Alegre do Pindaré (MA);59,39;0,53;71,44;21228;9829;7536;3,4;3,36;24,67;14,53;4,31;4,84;37,74;9,8
Alto Alegre dos Parecis (RO);52,42;;71,64;9159;3657;5372;11,97;11;44,23;43,13;5,5;4,81;66,35;9,46
Alto Alegre (RR);56,05;0,22;73,78;11668;4780;5020;9,19;9,88;14,58;23,66;2,8;2,58;96,75;5,66
Alto Alegre (RS);56,8;1,29;76,52;1105;743;1107;23,22;22,4;43,11;43,05;4,43;4,75;9,51;10,36
Alto Alegre (SP);29,09;0,16;74;868;3234;2089;17,23;13,65;37,45;29,04;10,38;8,83;4,5;10,8
Alto Araguaia (MT);17,28;0,45;73,13;1823;13821;8010;35,55;32,6;17,46;17,22;38,07;36,77;49,31;9,1
Alto Bela Vista (SC);57,61;;77,93;1400;605;1191;17,76;17,53;34,27;31,84;16,51;17,74;37,94;10,72
Alto Boa Vista (MT);38,95;;73,2;2069;3178;1912;9,03;9,92;25,58;30,28;3,09;3,7;60,87;8,17
Alto Caparaó (MG);55,42;;75,54;1333;3964;2854;7,83;9,27;20,08;20,28;5,03;4,45;40,77;9,38
Alto do Rodrigues (RN);11,34;3,85;72,98;3432;8873;5225;36,89;23,19;2,23;3,26;66,4;55,28;55,88;9,86
Alto Feliz (RS);38,78;0,15;78,14;2101;816;2039;16,95;18,33;31,31;28,49;22,64;26,63;76,92;9,73
Alto Garças (MT);32,47;0,81;75,08;895;9455;5270;32,14;29,29;44,5;43,57;4,14;4,44;43,66;8,92
Alto Horizonte (GO);14,36;7,43;75,48;642;3863;2104;69,97;67,22;2,34;2,32;66,65;67,99;40,96;10,42
Alto Jequitibá (MG);60,35;0,12;72,21;4018;4300;4137;7,91;9,25;28,93;24,4;6,97;5,59;29,37;9,58
Alto Longá (PI);48,11;1;70,05;6932;6714;5277;3,85;4,14;9,21;6,85;3,75;3,56;85,36;8,22
Altônia (PR);24,13;0,16;75,88;5422;15094;10961;9,58;9,59;17,52;17,35;6,35;5,68;24,77;11,44
Alto Paraguai (MT);27,9;2,4;72,01;3683;6383;3380;5,87;6,03;20,17;18,15;2,82;3,34;72,62;8,96
Alto Paraíso de Goiás (GO);22,9;0,1;74,16;1666;5219;3523;12,8;13,54;23,33;27,8;6,54;6,62;83,51;9,56
Alto Paraíso (PR);35,32;;74,74;1434;1772;1128;16,18;15,12;45,78;44,22;5,93;4,04;27,9;8,91
Alto Paraíso (RO);50,67;0,38;73,22;8933;8202;8045;9,24;9,22;23,93;24,32;10,31;7,98;39,06;7,61
Alto Paraná (PR);31,8;0,78;75,76;2442;11221;6216;15,03;13,2;37,16;36,58;12,69;11,09;8,36;10,5
Alto Parnaíba (MA);42,48;0,18;72,07;3738;7028;3772;20,59;20,49;63,71;61,3;7,84;7,6;91,23;9,58
Alto Piquiri (PR);29,62;;72,86;1803;8376;4538;16,52;16,97;37,6;35,79;5,93;6,26;5,47;9,89
Alto Rio Doce (MG);46,32;0,16;74,7;7089;5070;4871;6,87;7,21;26,95;28,02;8,1;8,64;28,24;9,05
Alto Rio Novo (ES);45,13;0,2;73,89;3061;4256;3125;7,5;7,36;18,82;16,48;6,54;7,03;14,92;10,1
Alto Santo (CE);43,19;;71,44;8318;8041;6267;5,87;5,54;24,65;26,97;6,93;6,64;37,44;9,12
Altos (PI);32,84;0,03;71,03;11434;27388;15600;5,8;5,49;2,52;2,4;14,4;14,46;89,63;9,35
Alto Taquari (MT);10,88;0,57;74,95;749;7323;4136;75,02;70,42;44,76;45,58;12,95;15,66;22,57;9,03
Alumínio (SP);2,18;;75,47;2716;14123;7782;67,14;72,14;0,07;0,06;63,15;65,32;32,11;10,54
Alvarães (AM);46,48;0,26;71,69;6201;7887;3413;5,52;4,75;17,01;18,81;13,57;5,24;96,45;5,96
Alvarenga (MG);45,69;;72,85;2325;2119;1489;5,9;5,97;20,21;17,44;4,62;5,05;11,38;7,86
Álvares Florence (SP);31,25;;73,35;1249;2648;1830;17,54;16,48;40,16;38,35;12,67;13,63;12,16;10,13
Álvares Machado (SP);9,92;0,17;75,03;2330;21183;11689;12,82;12,3;6,98;5,43;19,13;18,25;2,09;10,58
Álvaro de Carvalho (SP);41,72;;73,31;1698;2952;1522;6,27;6,77;10,93;20,05;5,77;6,48;12,57;11,27
Alvinlândia (SP);39,4;;72,48;307;2693;1379;10,28;9,66;23,6;19,96;6,83;7,84;22,21;11,33
Alvinópolis (MG);30,15;1,04;74,34;3828;11433;6718;11,38;10,86;5,48;6,09;30,73;29,04;30,26;9,3
Alvorada de Minas (MG);43,48;;72,65;2096;1450;1186;14,7;9,93;15,53;14,58;7,28;4,71;47,13;7,58
Alvorada D'Oeste (RO);36;;70,75;8029;8824;7007;9,39;9,33;32,84;33,82;4,66;3,78;45,21;9,78
Alvorada do Gurguéia (PI);51,34;;69,96;3201;1849;1479;8,53;8,13;36,83;35,1;4,28;4,53;92,74;9,14
Alvorada do Norte (GO);29,8;0,15;74,15;1211;6873;3838;9,7;9,19;13,35;13,93;7,64;5,63;63,73;9,25
Alvorada do Sul (PR);25,69;;74,55;2945;7338;4648;12,96;14,65;27,58;31,12;5,69;5,39;5,12;11,83
Alvorada (RS);0,73;0,07;77,41;;195673;94598;8,37;8,18;0,07;0,06;18,67;15,81;43,77;9,03
Alvorada (TO);13,82;0,1;75,55;609;7765;3932;20,99;19,61;29,56;25,67;18,03;15,82;40,13;9,85
Amajari (RR);41,63;;73,9;8108;1219;1756;7,78;8,08;19,28;23,67;0,97;1,16;98,03;4,72
Amambai (MS);20,35;0,32;74,07;12355;22375;14805;14,99;15,09;26,6;28,8;7,35;9,21;7,89;8,87
Amapá (AP);37,05;;72,4;1110;6959;3029;15,35;11,04;15,73;17,95;2,27;2,08;75,06;8,68
Amapá do Maranhão (MA);45,97;1;66,29;1590;4841;2142;4,14;4,16;18,13;18,32;4,05;4,45;30,07;8,36
Amaporã (PR);43,51;;72,09;1113;4330;2505;10,4;10,91;36,46;34,74;5,2;5,37;6,19;11,32
Amaraji (PE);48,66;0,23;69,89;5894;16045;8048;5,69;5,4;15,41;16,01;4,68;6,09;21,55;8,9
Amaral Ferrador (RS);72,87;;73,13;4487;1866;3327;8,74;9,19;37,37;41,95;3,75;3,34;69,41;9,7
Amaralina (GO);61,6;0,71;73,75;2333;1101;1306;9,69;9,37;48,41;52,09;3,02;3,25;38,8;8,54
Amarante do Maranhão (MA);54,48;0,08;67,93;22928;15004;12853;4,43;4,5;30,35;30,09;3,34;3,92;75,29;8,21
Amarante (PI);45,02;0,32;70;8363;8772;6403;5,08;4,81;9,55;8,55;5,82;4,79;94,57;9,08
Amargosa (BA);34,53;0,09;73,4;9460;24891;15541;6,17;6,02;7,71;8,24;12,46;11,24;23,92;8,69
Amaturá (AM);58,84;;71,36;4507;4960;2173;4,71;4,42;14,7;14,44;4,13;3,41;93,72;7,18
Amélia Rodrigues (BA);18,34;0,45;73,59;5233;19957;11044;7,84;7,22;11,75;11,12;11,97;9,7;22,85;9,84
América Dourada (BA);64,71;;70,05;5129;10832;5721;4,12;4,42;16,29;19,34;7,07;6,23;16,61;8,41
Americana (SP);0,99;0,08;77,55;984;209654;115163;35,74;31,11;0,12;0,12;29,3;26,36;6,49;10,6
Americano do Brasil (GO);20,67;8,1;73,77;790;4718;2550;7,87;8,96;18,17;28,93;15,62;10,08;17,63;9,79
Américo Brasiliense (SP);10,8;0,32;76,12;261;34217;17755;14,58;14,35;3,07;2,09;33,35;35,34;12,37;11,2
Américo de Campos (SP);26,29;0,17;74,04;918;4788;2786;11,41;10,29;32,21;29,19;4,18;4,38;13,48;11,61
Ametista do Sul (RS);33,76;21,43;73,54;3512;3811;3958;8,2;8,31;16,98;14,47;16,17;16,19;31;10,17
Amontada (CE);53,13;0,07;70,63;23285;15947;13111;6,92;5,47;10,88;11,23;30,92;19,34;48,7;10,25
Amorinópolis (GO);49,68;;73,79;1438;2171;1722;11,95;10,71;39,97;43,09;6,61;3,8;22,36;9,4
Amparo de São Francisco (SE);30,25;;68,66;435;1840;955;8,26;8,23;5,5;5,26;10,07;6,88;0,78;9,64
Amparo do Serra (MG);48,91;0,14;73,63;2411;2642;2057;6,07;6,03;17,71;17,42;5,64;5,45;17,85;8,96
Amparo (PB);60,4;;70,14;1026;1062;972;6,11;6,68;5,69;5,68;4,16;5,98;68,51;9,7
Amparo (SP);8,07;0,06;77,27;14018;51811;36340;38,65;33,26;3,45;3,92;44,73;37,07;18,46;9,68
Ampére (PR);19,44;0,06;74,45;4051;13257;7804;19,57;18,96;15,48;14,92;33,23;29,87;20,38;11,14
Anadia (AL);35,64;0,7;70,35;8475;8949;4922;5,51;5,11;30,16;20,34;3,14;3,66;3,16;8,64
Anagé (BA);54,88;0,25;71,27;20592;4924;8457;5,2;5,63;10,44;9,14;5,62;5,89;43,63;7,26
Anahy (PR);35,66;;75,66;766;2108;1321;17,78;17,85;46,42;42,41;4,24;4,31;10,35;11,26
Anajás (PA);41,76;;71,43;15265;9494;7158;4,86;4,74;23,12;24,09;6,95;6,17;97,36;6,6
Anajatuba (MA);65,85;;70,69;18276;7015;9396;4,19;4;29,3;26,12;6,2;5,79;23,33;9,18
Analândia (SP);32,41;3,23;76,66;885;3408;2290;22,8;19,65;17,15;18,28;33,63;29,3;26,18;11,46
Anamã (AM);54,02;;69,48;6040;4174;3777;5,66;4,9;34,34;29,21;4,23;3,42;90,93;8,65
Ananás (TO);30,96;;73,23;1721;8144;3674;6,85;6,59;16,65;18,25;2,79;2,51;50,41;11,24
Ananindeua (PA);1,89;0,15;74,24;1161;470819;218223;9,09;8,89;0,23;0,23;20,11;20,53;55,65;9,65
Anápolis (GO);3,64;0,07;74,33;5858;328755;164502;27,67;26,2;0,49;0,45;34,98;37,21;29,64;9,82
Anapu (PA);48,72;0,8;72,25;10710;9833;8316;8,26;8,58;35,67;36,07;11,41;7,11;83,13;7,63
Anapurus (MA);48,77;0,1;70,85;6775;7164;5139;6,69;5,17;23,65;16,31;7,39;10,91;82,82;10,1
Anastácio (MS);20,86;;72,33;4161;19674;11027;10,57;11,52;19,48;25,46;10,59;13,11;36,91;10,12
Anaurilândia (MS);39,35;;74,58;4171;4322;3625;15,52;14,69;40,56;42,23;7,63;7,5;13,47;9,31
Anchieta (ES);17,11;4,2;76,35;5741;18161;12159;134,6;70,96;0,59;1,02;75,19;64,13;24,83;8,78
Anchieta (SC);52,66;0,06;73,01;3794;2586;3604;14,82;14,38;33,74;33,39;13,55;13,33;32,34;11,77
Andaraí (BA);44,86;0,91;70,84;6187;7773;4922;4,36;4,63;5,13;5,87;5,19;4,91;56,94;7,42
Andirá (PR);18,43;;75,25;1259;19351;9910;20,72;20,94;9,27;9,93;31,03;25,44;3,41;10,35
Andorinha (BA);40,14;11,59;68,88;8206;6208;6058;7,66;6,6;5,58;6,81;34,08;26,91;51,27;8,89
Andradas (MG);33,96;0,26;77,69;9244;28026;20717;14,37;14,14;11,94;12,29;21,4;19,35;14,52;9,82
Andradina (SP);8,69;0,09;78,07;3685;51649;27401;28,99;33,22;4,19;2,91;39,39;50,67;3,73;10,38
André da Rocha (RS);58,56;0,78;75,19;720;496;662;65,77;59,26;76,97;75,58;2,33;2,62;50,62;10,38
Andrelândia (MG);28,5;0,18;74,06;2363;9810;5486;10,63;10,62;21,27;19,42;9,8;9,92;13,35;9,82
Angatuba (SP);25,05;0,2;74,6;6257;15953;10590;25,55;22,25;14,64;15,76;40,7;24,5;16,17;9,55
Angelândia (MG);59,03;0,19;70,36;3967;4036;3552;7,12;5,77;29,92;25,38;4,98;3,74;44,7;8,49
Angélica (MS);40,77;;75,34;1494;7691;4470;32,58;38,12;44,38;44,2;23,19;28,72;7,68;10,14
Angelim (PE);58,19;;70,08;4115;6087;3651;6,01;6,43;28,94;36,55;2,73;3,21;3,73;8,57
Angelina (SC);56,88;0,09;72,82;4127;1123;2832;16,21;14,77;36,89;40,69;16,86;8,75;70,94;10,95
Angical (BA);56,25;0,1;71,67;7542;6531;5341;6,26;6,19;30,92;32,96;4,65;4,34;64,79;9,31
Angical do Piauí (PI);37,26;0,35;69,2;1458;5214;2406;5,39;5,03;7,84;7,38;4,93;4,24;98,48;9,81
Angicos (RN);16,61;;70,34;1464;10085;4252;7,17;6,66;3,6;3,96;13,18;8,38;59,59;9,39
Angico (TO);37,81;;71,37;1237;1938;1200;7,19;8,65;21,74;37,67;4,12;2,71;79,5;10,71
Angra dos Reis (RJ);2,21;0,66;75,75;6221;163290;80809;33,01;29,15;0,61;0,6;28,25;28,54;86,53;9
Anguera (BA);37,86;0,17;70,94;5916;4326;3825;3,72;3,9;7,43;6,79;5,16;4,95;2,81;9,25
Ângulo (PR);37,71;;74,62;606;2253;1508;18,4;19,95;42,95;42,04;3,67;4,24;3,88;9,54
Anhanguera (GO);11,83;0,47;73,11;65;955;548;10,92;10,4;14,7;13,53;8,01;7,67;26,27;7,22
Anhembi (SP);35,65;1,73;76,78;1382;4271;2441;13,91;11,36;31,09;27,88;15,46;14,21;15,17;10,19
Anhumas (SP);24,05;;75,67;679;3059;1763;12,48;10,65;38,92;34,02;9,45;8,68;6,69;10,35
Anicuns (GO);15,84;1,3;75,01;2928;17311;9456;13,51;12,23;17,56;20,57;24,96;22,27;16,93;10,47
Anísio de Abreu (PI);42,44;0,5;71,09;4595;4503;3361;4,64;4,64;4,35;4,42;6,08;4,65;68,85;9,11
Anita Garibaldi (SC);43,23;;74,53;4072;4551;4305;9,86;10,74;22,21;26,36;6,76;6,93;49,54;9,45
Anitápolis (SC);48,8;;75,17;1899;1315;1826;12,5;12,05;32,99;31,33;6,55;7,15;75,2;7,44
Anori (AM);54,17;0,08;70,42;6317;10000;5980;7,06;5,79;47,71;40,89;3,25;2,85;87,39;7,27
Anta Gorda (RS);60,45;0,07;77,08;3742;2331;3844;21,36;20,34;39,03;37,11;7,35;7,71;54,09;10,37
Antas (BA);50,25;;69,35;10712;6360;5876;3,89;3,73;11,17;14,31;11,77;4,41;16,23;8,55
Antonina do Norte (CE);36,7;;71,32;1985;4999;2368;5,3;4,78;9,47;4,38;3,3;4,65;79,12;9,39
Antonina (PR);16,84;0,44;75,3;2828;16063;7265;13,84;14,28;2,52;2,35;27;30,55;90,47;9,95
Antônio Almeida (PI);32,47;9,5;71,85;815;2224;1147;19,25;12,15;42,95;28,17;27,95;27,99;92,07;10,34
Antônio Cardoso (BA);59,57;0,17;71,06;8329;3225;5498;6,17;5,84;8,35;9,57;5,65;5,71;2,66;8,06
Antônio Carlos (MG);25,03;0,34;75,3;3288;7826;4850;8,07;7,82;14,08;15,5;17,98;14,84;27,05;8,84
Antônio Carlos (SC);35,79;;78,4;5117;2341;4077;53,14;49,39;34,43;37,58;31,85;26,6;73,68;10,55
Antônio Dias (MG);30,44;1,06;75,93;4893;4672;3491;9,87;11,38;17,83;10,97;12,29;25,48;37,74;9,86
Antônio Gonçalves (BA);45,21;0,55;69,45;5232;5783;4551;3,67;3,77;10,45;11,59;6,09;5,33;65,87;8,32
Antônio João (MS);36,81;;72,94;1380;6828;3415;12,72;15,97;39,05;39,23;4,11;4,93;27,75;9,81
Antônio Martins (RN);38,7;0,3;70,6;3123;3784;2254;4,85;4,6;5,95;4,53;3,73;5,38;50,41;8,73
Antônio Olinto (PR);65,63;0,13;74,49;6664;687;3556;16,52;15,34;56,31;51,66;5,43;8,05;43,13;10,98
Antônio Prado de Minas (MG);38,5;2,67;74,79;668;1003;746;8,51;8,45;14,54;14,51;5,07;5,07;20,83;9,99
Antônio Prado (RS);32,31;0,38;75,07;3598;9235;8121;25,36;26,15;11,91;12,75;32,37;31,8;59,89;10,56
Aparecida de Goiânia (GO);1,44;0,08;75,01;464;455193;236145;17,98;15,94;0,09;0,09;27,33;25,22;25,09;9,31
Aparecida D'Oeste (SP);33,72;;73,25;805;3645;1892;14,27;14,34;25,46;26,37;17,98;18,15;3,66;11,48
Aparecida do Rio Doce (GO);26,53;;73,84;477;1950;1035;21,04;19,99;50,23;50,93;4,75;4,64;20,56;7,57
Aparecida do Rio Negro (TO);25,46;;72,48;900;3313;1597;12,54;11,14;46,57;43,95;4,89;3,81;73,17;10,01
Aparecida do Taboado (MS);14,75;;73,23;2224;20096;10776;24,77;23,74;19,46;25,33;34,67;29,69;11,04;9,34
Aparecida (PB);37,89;0,11;69,79;4038;3638;2512;6,16;6,15;11;11,62;4,65;6,34;68,61;9,09
Aparecida (SP);0,86;0,62;74,67;509;34498;18253;18,81;20,02;0,18;0,16;9,89;15,79;23,39;10,5
Aperibé (RJ);13,32;1,25;72,1;1335;8878;4876;10,32;10,26;5,05;4,9;9,25;8,27;0,4;8,95
Apiacá (ES);37,7;1,01;75,45;2301;5211;3418;7,24;7,32;14,46;16,2;5,7;5,9;16,75;8,8
Apiacás (MT);37,84;3,8;73,54;2190;6377;4310;10,2;10,31;18,24;17,56;12,1;9,76;89,29;8,98
Apiaí (SP);25,2;0,53;75,07;6973;18218;10543;23,81;20,07;33;36,45;24,91;16,72;68,63;10,82
Apicum-Açu (MA);53,53;;68,1;5797;9162;5538;3,91;3,65;18,67;18,24;3,64;4,52;67,54;9,68
Apiúna (SC);22,3;0,19;74,61;5312;4288;5670;29,88;28,8;3,83;3,34;51,86;51,57;78,15;10,23
Apodi (RN);30,54;0,61;69,79;17232;17531;14614;11,5;8,35;5,64;6,74;38,26;23,78;51,53;9,58
Aporá (BA);58,78;;70,05;9226;8505;6931;4,15;4,2;11,44;15,08;5,68;4,99;8,14;7,66
Aporé (GO);36,89;0,12;74,4;1262;2541;1942;35,43;41,47;44,56;34,33;22,62;39,27;22,5;9,06
Apuarema (BA);50,76;0,24;69,09;2342;5117;2993;5,38;5,31;23,29;25,25;5,18;5,36;50,03;8,11
Apucarana (PR);6,54;0,04;75,71;6821;114098;65213;17,02;16,08;3,56;4,05;28,43;24,81;14,91;10,82
Apuí (AM);40,93;1,54;71,29;7412;10595;7451;7,5;7,21;36,63;41,46;6,37;5,52;96,76;8,74
Apuiarés (CE);46,94;;69,44;8153;5772;4666;4,32;4,31;8,44;6,03;9,92;11,33;88,93;10,63
Aquidabã (SE);38,1;0,11;69,83;8599;11457;7349;7,08;7,54;21,16;24,41;5,48;4,37;0,68;8,63
Aquidauana (MS);19,72;0,18;75,39;9688;35926;19090;12,81;12,37;18,2;19,29;9,24;9,42;80,5;9,55
Aquiraz (CE);14,62;0,46;72,27;5545;67083;29779;16,89;16,98;6,5;6,18;25,17;25,86;42,01;9,05
Arabutã (SC);62,26;;76,75;2886;1307;2763;18,28;17,72;45,7;45,96;13,21;11,77;49,34;10,73
Araçagi (PB);57,71;;69,7;10420;6804;5630;5,76;5,78;19,69;21,44;3,23;4,58;5,93;8,13
Araçaí (MG);27,99;0,19;73,28;460;1783;1040;12,54;11,87;16,51;11,65;24,63;24,95;36,77;10,54
Aracaju (SE);1,15;1,63;74,36;;571149;277607;18,8;18,11;0,02;0,02;19,7;17,86;14,19;9,76
Araçariguama (SP);4,31;0,83;73,86;;17080;8451;60,69;57,22;0,08;0,08;52,75;48,54;44,71;9,99
Araças (BA);40,37;1,26;69,65;5754;5807;4228;22,73;15,21;2,59;3,18;59,06;51,97;51,15;7,92
Aracati (CE);26,68;0,19;69,52;25124;44035;28728;11,81;11,54;10,8;12,02;24,06;22,38;50,97;10,39
Aracatu (BA);54,64;0,11;70,25;9805;3938;6380;4,52;4,39;13,92;15,67;9,64;4,74;33,36;8,87
Araçatuba (SP);3,66;0,01;75,46;3502;178077;93284;25,29;24,15;1,27;1,18;19,35;21,51;2,54;11,08
Araci (BA);51,02;0,75;69,79;32013;19638;19308;4,77;4,69;15,57;15,67;6,95;7,16;24,45;6,94
Aracitaba (MG);35,51;;74,37;417;1641;747;7;6,84;14,76;13,25;4,42;4,67;18,05;8,55
Aracoiaba (CE);48,93;0,33;70,56;11654;13737;9205;4,88;4,85;10,96;9,44;6,7;7,46;80,9;9,46
Araçoiaba da Serra (SP);10,89;0,08;76,61;8535;18764;13226;13,31;14,23;5,11;3,74;19,98;27,01;13,81;11,47
Araçoiaba (PE);19,31;;70,87;2888;15268;6291;4,61;4,19;2,75;3,86;2,73;2,91;26,61;9,16
Aracruz (ES);11,91;0,65;75,26;10381;71451;40906;42,1;40,37;1,21;1,13;64,58;64,84;20,71;10,26
Araçuaí (MG);30,38;1,4;74,27;12578;23435;14538;7,2;7,05;3,53;3,09;13,18;9,71;50,58;9,59
Araçu (GO);19,24;;75,26;445;3357;1571;9,68;9,05;27,59;29,51;9,14;7,42;18,5;9,34
