mun;ano;estabelecimentos
Mg-Passa Tempo;2002;17
Mg-Passa-Vinte;2002;1
Mg-Passos;2002;295
Mg-Patis;2002;0
Mg-Patos de Minas;2002;333
Mg-Patrocinio;2002;124
Mg-Patrocinio do Muriae;2002;20
Mg-Paula Candido;2002;11
Mg-Paulistas;2002;2
Mg-Pavao;2002;2
Mg-Pecanha;2002;10
Mg-Pedra Azul;2002;12
Mg-Pedra Bonita;2002;0
Mg-Pedra do Anta;2002;1
Mg-Pedra do Indaia;2002;11
Mg-Pedra Dourada;2002;2
Mg-Pedralva;2002;24
Mg-Pedras de Maria da Cruz;2002;0
Mg-Pedrinopolis;2002;1
Mg-Pedro Leopoldo;2002;137
Mg-Pedro Teixeira;2002;1
Mg-Pequeri;2002;15
Mg-Pequi;2002;3
Mg-Perdigao;2002;69
Mg-Perdizes;2002;19
Mg-Perdoes;2002;71
Mg-Periquito;2002;1
Mg-Pescador;2002;2
Mg-Piau;2002;5
Mg-Piedade de Caratinga;2002;4
Mg-Piedade de Ponte Nova;2002;7
Mg-Piedade do Rio Grande;2002;6
Mg-Piedade dos Gerais;2002;3
Mg-Pimenta;2002;4
Mg-Pingo-D Agua;2002;1
Mg-Pintopolis;2002;2
Mg-Piracema;2002;6
Mg-Pirajuba;2002;3
Mg-Piranga;2002;6
Mg-Pirangucu;2002;7
Mg-Piranguinho;2002;18
Mg-Pirapetinga;2002;16
Mg-Pirapora;2002;64
Mg-Pirauba;2002;42
Mg-Pitangui;2002;60
Mg-Piumhi;2002;56
Mg-Planura;2002;8
Mg-Poco Fundo;2002;36
Mg-Pocos de Caldas;2002;353
Mg-Pocrane;2002;2
Mg-Pompeu;2002;83
Mg-Ponte Nova;2002;111
Mg-Ponto Chique;2002;0
Mg-Ponto dos Volantes;2002;2
Mg-Porteirinha;2002;16
Mg-Porto Firme;2002;11
Mg-Pote;2002;5
Mg-Pouso Alegre;2002;278
Mg-Pouso Alto;2002;14
Mg-Prados;2002;25
Mg-Prata;2002;26
Mg-Pratapolis;2002;20
Mg-Pratinha;2002;0
Mg-Presidente Bernardes;2002;1
Mg-Presidente Juscelino;2002;7
Mg-Presidente Kubitschek;2002;0
Mg-Presidente Olegario;2002;14
Mg-Alto Jequitiba;2002;8
Mg-Prudente de Morais;2002;15
Mg-Quartel Geral;2002;6
Mg-Queluzito;2002;0
Mg-Raposos;2002;6
Mg-Raul Soares;2002;22
Mg-Recreio;2002;27
Mg-Reduto;2002;6
Mg-Resende Costa;2002;29
Mg-Resplendor;2002;16
Mg-Ressaquinha;2002;10
Mg-Riachinho;2002;3
Mg-Riacho dos Machados;2002;2
Mg-Ribeirao das Neves;2002;100
Mg-Ribeirao Vermelho;2002;8
Mg-Rio Acima;2002;10
Mg-Rio Casca;2002;29
Mg-Rio Doce;2002;3
Mg-Rio do Prado;2002;1
Mg-Rio Espera;2002;1
Mg-Rio Manso;2002;11
Mg-Rio Novo;2002;30
Mg-Rio Paranaiba;2002;11
Mg-Rio Pardo de Minas;2002;13
Mg-Rio Piracicaba;2002;7
Mg-Rio Pomba;2002;63
Mg-Rio Preto;2002;2
Mg-Rio Vermelho;2002;2
Mg-Ritapolis;2002;8
Mg-Rochedo de Minas;2002;4
Mg-Rodeiro;2002;45
Mg-Romaria;2002;4
Mg-Rosario da Limeira;2002;5
Mg-Rubelita;2002;2
Mg-Rubim;2002;3
Mg-Sabara;2002;110
Mg-Sabinopolis;2002;10
Mg-Sacramento;2002;67
Mg-Salinas;2002;44
Mg-Salto da Divisa;2002;5
Mg-Santa Barbara;2002;30
Mg-Santa Barbara do Leste;2002;2
Mg-Santa Barbara do Monte Verde;2002;3
Mg-Santa Barbara do Tugurio;2002;4
Mg-Santa Cruz de Minas;2002;25
Mg-Santa Cruz de Salinas;2002;1
Mg-Santa Cruz do Escalvado;2002;6
Mg-Santa Efigenia de Minas;2002;0
Mg-Santa Fe de Minas;2002;1
Mg-Santa Helena de Minas;2002;3
Mg-Santa Juliana;2002;13
Mg-Santa Luzia;2002;170
Mg-Santa Margarida;2002;4
Mg-Santa Maria de Itabira;2002;8
Mg-Santa Maria do Salto;2002;2
Mg-Santa Maria do Suacui;2002;16
Mg-Santana da Vargem;2002;12
Mg-Santana de Cataguases;2002;11
Mg-Santana de Pirapama;2002;6
Mg-Santana do Deserto;2002;11
Mg-Santana do Garambeu;2002;2
Mg-Santana do Jacare;2002;10
Mg-Santana do Manhuacu;2002;5
Mg-Santana do Paraiso;2002;29
Mg-Santana do Riacho;2002;1
Mg-Santana dos Montes;2002;0
Mg-Santa Rita de Caldas;2002;15
Mg-Santa Rita de Jacutinga;2002;6
Mg-Santa Rita de Minas;2002;8
Mg-Santa Rita de Ibitipoca;2002;4
Mg-Santa Rita do Itueto;2002;4
Mg-Santa Rita do Sapucai;2002;136
Mg-Santa Rosa da Serra;2002;2
Mg-Santa Vitoria;2002;28
Mg-Santo Antonio do Amparo;2002;12
Mg-Santo Antonio do Aventureiro;2002;2
Mg-Santo Antonio do Grama;2002;2
Mg-Santo Antonio do Itambe;2002;2
Mg-Santo Antonio do Jacinto;2002;2
Mg-Santo Antonio do Monte;2002;115
Mg-Santo Antonio do Retiro;2002;0
Mg-Santo Antonio do Rio Abaixo;2002;0
Mg-Santo Hipolito;2002;3
Mg-Santos Dumont;2002;59
Mg-Sao Bento Abade;2002;4
Mg-Sao Bras do Suacui;2002;10
Mg-Sao Domingos das Dores;2002;2
Mg-Sao Domingos do Prata;2002;27
Mg-Sao Felix de Minas;2002;1
Mg-Sao Francisco;2002;11
Mg-Sao Francisco de Paula;2002;11
Mg-Sao Francisco de Sales;2002;14
Mg-Sao Francisco do Gloria;2002;4
Mg-Sao Geraldo;2002;37
Mg-Sao Geraldo da Piedade;2002;0
Mg-Sao Geraldo do Baixio;2002;0
Mg-Sao Goncalo do Abaete;2002;5
Mg-Sao Goncalo do Para;2002;54
Mg-Sao Goncalo do Rio Abaixo;2002;5
Mg-Sao Goncalo do Sapucai;2002;43
Mg-Sao Gotardo;2002;42
Mg-Sao Joao Batista do Gloria;2002;17
Mg-Sao Joao da Lagoa;2002;3
Mg-Sao Joao da Mata;2002;5
Mg-Sao Joao da Ponte;2002;2
Mg-Sao Joao das Missoes;2002;1
Mg-Sao Joao Del Rei;2002;220
Mg-Sao Joao do Manhuacu;2002;4
Mg-Sao Joao do Manteninha;2002;11
Mg-Sao Joao do Oriente;2002;8
Mg-Sao Joao do Pacui;2002;0
Mg-Sao Joao do Paraiso;2002;17
Mg-Sao Joao Evangelista;2002;10
Mg-Sao Joao Nepomuceno;2002;163
Mg-Sao Joaquim de Bicas;2002;43
Mg-Sao Jose da Barra;2002;12
Mg-Sao Jose da Lapa;2002;26
Mg-Sao Jose da Safira;2002;4
Mg-Sao Jose da Varginha;2002;0
Mg-Sao Jose do Alegre;2002;7
Mg-Sao Jose do Divino;2002;1
Mg-Sao Jose do Goiabal;2002;7
Mg-Sao Jose do Jacuri;2002;2
Mg-Sao Jose do Mantimento;2002;1
Mg-Sao Lourenco;2002;117
Mg-Sao Miguel do Anta;2002;6
Mg-Sao Pedro da Uniao;2002;5
Mg-Sao Pedro dos Ferros;2002;14
Mg-Sao Pedro do Suacui;2002;3
Mg-Sao Romao;2002;1
Mg-Sao Roque de Minas;2002;8
Mg-Sao Sebastiao da Bela Vista;2002;16
Mg-Sao Sebastiao da Vargem Alegre;2002;4
Mg-Sao Sebastiao do Anta;2002;0
Mg-Sao Sebastiao do Maranhao;2002;3
Mg-Sao Sebastiao do Oeste;2002;7
Mg-Sao Sebastiao do Paraiso;2002;173
Mg-Sao Sebastiao do Rio Preto;2002;0
Mg-Sao Sebastiao do Rio Verde;2002;3
Mg-Sao Tiago;2002;42
Mg-Sao Tomas de Aquino;2002;9
Mg-Sao Thome das Letras;2002;74
Mg-Sao Vicente de Minas;2002;19
Mg-Sapucai-Mirim;2002;13
Mg-Sardoa;2002;1
Mg-Sarzedo;2002;16
Mg-Setubinha;2002;0
Mg-Sem-Peixe;2002;1
Mg-Senador Amaral;2002;2
Mg-Senador Cortes;2002;4
Mg-Senador Firmino;2002;9
Mg-Senador Jose Bento;2002;1
Mg-Senador Modestino Goncalves;2002;2
Mg-Senhora de Oliveira;2002;3
Mg-Senhora do Porto;2002;0
Mg-Senhora dos Remedios;2002;6
Mg-Sericita;2002;2
Mg-Seritinga;2002;2
Mg-Serra Azul de Minas;2002;3
Mg-Serra da Saudade;2002;0
Mg-Serra dos Aimores;2002;3
Mg-Serra do Salitre;2002;13
Mg-Serrania;2002;23
Mg-Serranopolis de Minas;2002;0
Mg-Serranos;2002;0
Mg-Serro;2002;12
Mg-Sete Lagoas;2002;435
Mg-Silveirania;2002;3
Mg-Silvianopolis;2002;14
Mg-Simao Pereira;2002;2
Mg-Simonesia;2002;5
Mg-Sobralia;2002;4
Mg-Soledade de Minas;2002;9
Mg-Tabuleiro;2002;5
Mg-Taiobeiras;2002;63
Mg-Taparuba;2002;4
Mg-Tapira;2002;3
Mg-Tapirai;2002;0
Mg-Taquaracu de Minas;2002;6
Mg-Tarumirim;2002;9
Mg-Teixeiras;2002;20
Mg-Teofilo Otoni;2002;179
Mg-Timoteo;2002;151
Mg-Tiradentes;2002;32
Mg-Tiros;2002;7
Mg-Tocantins;2002;57
Mg-Tocos do Moji;2002;3
Mg-Toledo;2002;5
Mg-Tombos;2002;15
Mg-Tres Coracoes;2002;117
Mg-Tres Marias;2002;29
Mg-Tres Pontas;2002;66
Mg-Tumiritinga;2002;3
Mg-Tupaciguara;2002;37
